tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,1,Mark Daniels,353,20,1113,,,,315
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,2,Casey Ashley,135,20,1061,,,5,295
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,3,Cliff Pirch,282,20,1058,40,,10,330
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,4,Boyd Duckett,150,20,1035,,,,285
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,5,Dean Rojas,193,20,1012,,,,280
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,6,Bradley Roy,306,20,1009,,,,276
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,7,Jacob Wheeler,315,20,993,,,,272
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,8,Josh Bertrand,276,20,988,,,,268
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,9,Justin Lucas,301,20,931,,,,264
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,10,Brent Ehrler,319,20,902,,,,260
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,11,Jordan Lee,288,20,858,,,,257
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,12,Edwin Evers,152,20,858,,,,254
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,13,Caleb Sumrall,375,14,635,,,,251
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,14,David Fritts,354,11,628,,,5,253
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,15,Adrian Avena,339,15,625,,,,245
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,16,Paul Mueller,294,15,615,,,,243
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,17,Todd Faircloth,120,15,600,,,,241
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,18,Shin Fukae,309,15,597,,,,239
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,19,Jason Williamson,218,15,589,,,,237
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,20,Randy Sullivan,374,15,574,,,,235
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,21,Brandon Palaniuk,184,15,573,,,,233
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,22,Andy Montgomery,177,12,544,,,,231
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,23,Jake Whitaker,377,15,542,,,,229
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,24,Dustin Connell,352,15,542,,,,227
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,25,Brett Hite,298,15,541,,,,225
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,26,Jacob Powroznik,303,13,539,,,,223
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,27,Bobby Lane,167,15,537,,,,221
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,28,Chad Pipkens,280,15,534,,,,219
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,29,Michael Iaconelli,124,15,526,,,,217
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,30,Jason Christie,264,13,520,,,,215
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,31,Keith Poche,186,15,520,,,,213
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,32,Brandon Card,256,13,512,,,,211
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,33,Alton Jones Jr.,357,15,509,,,,209
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,34,Ott Defoe,149,15,508,,,,207
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,35,Dave Lefebre,346,15,505,,,,205
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,36,Jesse Wiggins,362,10,489,,,,203
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,37,Seth Feider,320,15,487,,,,201
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,38,Jeff Kriet,165,15,451,,,,199
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,39,Micah Frazier,321,13,448,,,,197
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,40,Matt Herren,159,15,444,,,,195
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,41,Kyle Monti,372,10,440,,,,193
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,42,Marty Robinson,192,15,434,,,,191
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,43,Mike McClelland,123,15,434,,,,189
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,44,Brandon Coulter,318,12,432,,,,187
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,45,David Mullins,302,12,422,,,,185
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,46,James Elam,277,15,419,,,,183
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,47,Fletcher Shryock,244,15,414,,,,181
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,48,Robbie Latuso,358,11,409,,,,179
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,49,Brian Snowden,205,15,406,,,,177
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,50,"Ray Hanselman, Jr.",370,12,370,,,,175
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,51,Drew Benton,340,8,289,,,,173
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,52,Kelly Jordon,129,8,289,,,,171
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,53,Brent Chapman,126,10,288,,,,169
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,54,Alton Jones Sr.,130,10,285,,,,167
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,55,Mark Menendez,175,10,284,,,,165
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,56,Randy Howell,131,10,283,,,,163
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,57,Darrell Ocamica,359,10,282,,,,161
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,58,Rick Morris,178,10,281,,,,159
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,59,Chris Lane,168,10,281,,,,157
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,60,Takahiro Omori,182,9,280,,,,155
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,61,Keith Combs,143,10,279,,,,153
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,62,Matt Lee,274,10,279,,,,151
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,63,Kevin VanDam,118,10,277,,,,149
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,64,Tyler Carriere,351,10,276,,,,147
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,65,Gerald Swindle,208,10,275,,,,145
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,66,Scott Rook,194,10,271,,,,143
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,67,Jared Lintner,170,10,270,,,,141
Bassmaster Elite at Lake Oahe,2018,June 29-2 2018,Lake Oahe,SD,68,David Walker,214,10,266,,,,139
