tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,1,Ishama Monroe,224,20,1047,,,,305
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,2,Jacob Powroznik,303,20,1036,,,5,295
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,3,Randall Tharp,209,20,1029,,,,295
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,4,Gerald Spohrer,360,20,1024,,,,285
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,5,Jacob Wheeler,315,20,995,,,,280
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,6,Keith Poche,186,20,992,,,,276
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,7,Cliff Pace,183,20,970,,,,272
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,8,Aaron Martens,119,20,969,,,,273
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,9,Casey Ashley,135,20,966,40,,5,304
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,10,Gary Klein,121,20,962,,,,260
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,11,Justin Lucas,301,20,935,,,,257
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,12,Wesley Strader,368,20,934,,,,254
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,13,Ott Defoe,149,15,712,,,5,251
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,14,Stetson Blaylock,350,15,708,,,,248
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,15,Cliff Pirch,282,15,706,,,,245
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,16,Alton Jones Jr.,357,15,706,,,,243
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,17,Jason Christie,264,15,705,,,,241
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,18,Hunter Shryock,373,15,702,,,,239
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,19,Dean Rojas,193,15,698,,,,237
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,20,Dave Lefebre,346,14,695,,,,235
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,21,Cliff Crochet,147,15,692,,,,233
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,22,Bill Lowen,171,15,690,,,,231
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,23,Brent Chapman,126,15,689,,,,229
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,24,Alton Jones Sr.,130,15,684,,,,227
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,25,Chad Pipkens,280,15,683,,40,5,270
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,26,Bradley Roy,306,15,683,,,,223
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,27,Cliff Prince,261,15,681,,,,221
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,28,Chris Zaldain,263,15,679,,,,219
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,29,Fletcher Shryock,244,15,677,,,,217
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,30,Josh Bertrand,276,15,673,,,,215
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,31,Chris Lane,168,15,672,,,,213
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,32,Keith Combs,143,15,670,,,,211
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,33,Drew Benton,340,15,668,,,,209
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,34,Kevin VanDam,118,15,667,,,,207
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,35,Jeff Kriet,165,15,664,,,,205
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,36,Greg Vinson,213,15,662,,,,203
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,37,Matt Lee,274,15,658,,,,201
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,38,Michael Iaconelli,124,15,651,,,,199
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,39,Jake Whitaker,377,15,651,,,,197
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,40,Marty Robinson,192,15,648,,,,195
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,41,Morizo Shimizu,201,15,646,,,,193
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,42,John Crews,146,15,646,,,,191
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,43,Jonathon VanDam,220,15,643,,,,189
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,44,James Elam,277,15,643,,,,187
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,45,Chris Groh,369,14,640,,,,185
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,46,Takahiro Omori,182,15,638,,,,183
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,47,John Murray,179,15,635,,,,181
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,48,Caleb Sumrall,375,14,629,,,,179
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,49,Brett Hite,298,15,627,,,,177
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,50,Brent Ehrler,319,15,615,,,,175
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,51,Stephen Browning,140,10,437,,,,173
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,52,Micah Frazier,321,10,437,,,,171
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,53,Stephen Kennedy,128,10,437,,,,169
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,54,Bill Weidler,376,10,430,,,,167
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,55,Brandon Palaniuk,184,10,427,,,,165
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,56,Seth Feider,320,10,421,,,,163
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,57,David Mullins,302,10,421,,,,161
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,58,Randy Howell,131,10,420,,,,159
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,59,Brian Snowden,205,10,420,,,,157
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,60,Kyle Monti,372,10,419,,,,155
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,61,Todd Faircloth,120,10,416,,,,153
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,62,Scott Rook,194,10,416,,,,151
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,63,Shaw E Grigsby,125,10,416,,,,149
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,64,Dustin Connell,352,10,415,,,,147
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,65,Timmy Horton,163,10,413,,,,145
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,66,Darrell Ocamica,359,10,410,,,,143
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,67,Gerald Swindle,208,10,409,,,,141
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,68,Jordan Lee,288,10,406,,,,139
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,69,Paul Mueller,294,10,404,,,,137
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,70,Terry Scroggins,200,10,403,,,,135
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,71,Skeet Reese,117,10,403,,,,133
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,72,Brock Mosley,348,8,400,,,,131
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,73,Shin Fukae,309,10,397,,,,129
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,74,Roy Hawk,371,10,395,,,,127
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,75,"Ray Hanselman, Jr.",370,10,392,,,,125
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,76,Jesse Wiggins,362,10,391,,,,123
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,77,Tyler Carriere,351,10,391,,,,121
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,78,Mike McClelland,123,10,386,,,,119
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,79,Matt Herren,159,10,380,,,,117
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,80,Mark Menendez,175,10,378,,,,115
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,81,Rick Morris,178,10,377,,,,113
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,82,Tommy Biffle,137,10,377,,,,111
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,83,Bobby Lane,167,9,375,,,,109
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,84,Brandon Card,256,10,375,,,,107
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,85,Jared Lintner,170,10,372,,,,105
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,86,Edwin Evers,152,10,367,,,,103
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,87,Fred Roumbanis,195,10,362,,,,101
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,88,Mark Daniels,353,8,357,,,,99
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,89,Brandon Coulter,318,10,354,,,,97
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,90,Kelley Jaye,279,10,337,,,,95
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,91,David Fritts,354,8,330,,,,93
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,92,Paul Elias,151,10,315,,,,91
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,93,Andy Montgomery,177,9,313,,,,89
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,94,Greg Hackney,122,8,312,,,,87
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,95,Brandon Lester,300,10,312,,,,85
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,96,David Walker,214,6,308,,,,83
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,97,Bernie Schultz,199,10,303,,,,81
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,98,Boyd Duckett,150,6,298,,,,79
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,99,Hank Cherry,265,7,293,,,,77
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,100,Skylar Hamilton,355,7,282,,,,75
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,101,Robbie Latuso,358,8,277,,,,73
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,102,Jason Williamson,218,8,275,,,,71
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,103,Russ Lane,169,6,266,,,,69
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,104,Adrian Avena,339,7,217,,,,67
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,105,Randy Sullivan,374,7,216,,,,65
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,106,Kelly Jordon,129,3,118,,,,63
Bassmaster Elite at Mississippi River,2018,June 21-24 2018,Mississippi River,WI,107,Rick Clunn,142,2,87,,,,61
