tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,1,Greg Hackney,122,20,773,,,10,320
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,2,Gerald Swindle,208,20,699,,,5,295
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,3,Keith Poche,186,20,688,,,,290
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,4,Bradley Roy,306,20,657,,,,285
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,5,Jake Whitaker,377,20,645,,,,280
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,6,John Crews,146,20,635,,,,276
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,7,Brandon Palaniuk,184,20,609,,,,272
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,8,Skeet Reese,117,20,594,,,,268
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,9,Shin Fukae,309,19,593,,,,264
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,10,Justin Lucas,301,20,591,,,,260
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,11,Stephen Kennedy,128,18,571,40,,5,297
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,12,Brock Mosley,348,17,534,,40,,294
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,13,Bobby Lane,167,15,449,,,,251
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,14,Ott Defoe,149,15,448,,,,248
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,15,Roy Hawk,371,15,446,,,,245
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,16,Scott Rook,194,15,446,,,,243
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,17,Todd Faircloth,120,15,445,,,,241
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,18,Michael Iaconelli,124,15,445,,,,239
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,19,Matt Herren,159,15,442,,,,237
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,20,Chris Zaldain,263,15,438,,,,235
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,21,Gerald Spohrer,360,15,430,,,,233
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,22,Bill Lowen,171,15,429,,,,231
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,23,"Ray Hanselman, Jr.",370,15,426,,,,229
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,24,Micah Frazier,321,15,424,,,,227
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,25,Skylar Hamilton,355,14,421,,,,225
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,26,Casey Ashley,135,15,421,,,,223
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,27,Kevin VanDam,118,15,416,,,,221
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,28,Aaron Martens,119,15,415,,,,219
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,29,Wesley Strader,368,15,413,,,,217
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,30,Robbie Latuso,358,15,400,,,,215
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,31,Darrell Ocamica,359,15,399,,,,213
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,32,Brian Snowden,205,13,392,,,,211
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,33,Brandon Lester,300,15,388,,,,209
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,34,Dean Rojas,193,15,385,,,,207
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,35,Tyler Carriere,351,15,385,,,,205
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,36,Brandon Coulter,318,15,385,,,,203
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,37,Brent Chapman,126,15,384,,,,201
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,38,Greg Vinson,213,14,382,,,,199
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,39,Stephen Browning,140,14,374,,,,197
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,40,Jesse Wiggins,362,15,362,,,,195
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,41,Andy Montgomery,177,15,361,,,,193
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,42,Rick Morris,178,13,360,,,,191
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,43,Seth Feider,320,15,359,,,,189
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,44,Josh Bertrand,276,13,355,,,,187
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,45,Kelley Jaye,279,14,329,,,,185
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,46,Fred Roumbanis,195,12,326,,,,183
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,47,Jamie Hartman,356,11,310,,,,181
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,48,Randy Howell,131,11,307,,,,179
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,49,Randy Sullivan,374,11,305,,,,177
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,50,Alton Jones Sr.,130,10,269,,,,175
Bassmaster Elite at Sabine River presented by Econo Lodge,2018,June 7-10 2018,Sabine River,TX,51,David Mullins,302,9,249,,,,173
