tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,1,Josh Bertrand,276,20,1523,,,,305
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,2,Justin Lucas,301,20,1510,,,5,295
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,3,Brandon Lester,300,20,1505,,,10,295
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,4,David Walker,214,20,1483,,,,290
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,5,Mike McClelland,123,20,1441,,,,280
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,6,Rick Morris,178,20,1430,,,,276
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,7,Brandon Palaniuk,184,20,1426,,,,272
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,8,Keith Combs,143,20,1418,,,,268
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,9,Bobby Lane,167,20,1384,,,,264
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,10,Seth Feider,320,20,1381,,,,260
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,11,James Elam,277,20,1367,,,,257
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,12,Mark Daniels,353,20,1317,,,,254
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,13,Aaron Martens,119,15,1044,,,,251
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,14,Chris Lane,168,15,1043,,,,248
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,15,Roy Hawk,371,15,1039,,,,245
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,16,Tyler Carriere,351,15,1038,,,,243
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,17,Scott Rook,194,15,1035,,,,241
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,18,Randall Tharp,209,15,1026,,,,239
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,19,Micah Frazier,321,15,1019,,,,237
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,20,Brett Hite,298,15,1014,,40,,275
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,21,Rick Clunn,142,15,1009,,,,233
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,22,Todd Faircloth,120,15,1009,,,,231
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,23,Brian Snowden,205,15,1006,,,5,229
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,24,Jeff Kriet,165,15,1001,,,,227
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,25,Jacob Powroznik,303,15,999,,,,225
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,26,Stephen Kennedy,128,15,995,,,,223
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,27,Jesse Wiggins,362,15,992,,,,221
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,28,Michael Iaconelli,124,15,982,,,,219
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,29,Bill Lowen,171,15,977,,,,217
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,30,Edwin Evers,152,15,966,,,,215
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,31,Ott Defoe,149,15,960,,,,213
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,32,Alton Jones Jr.,357,15,957,,,,211
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,33,Jared Lintner,170,15,949,,,,209
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,34,Alton Jones Sr.,130,15,948,,,,207
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,35,Fred Roumbanis,195,15,941,,,,205
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,36,Kevin VanDam,118,15,940,,,,203
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,37,Gerald Spohrer,360,15,933,,,,201
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,38,Wesley Strader,368,15,928,,,,199
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,39,Kelley Jaye,279,15,917,,,,197
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,40,Dustin Connell,352,15,913,,,,195
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,41,Dave Lefebre,346,15,902,,,,193
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,42,Dean Rojas,193,15,888,,,,191
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,43,Andy Montgomery,177,15,881,,,,189
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,44,Randy Sullivan,374,15,857,,,,187
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,45,Matt Lee,274,15,852,40,,5,230
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,46,Darrell Ocamica,359,15,849,,,,183
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,47,Shaw E Grigsby,125,14,825,,,,181
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,48,John Murray,179,13,802,,,,179
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,49,David Fritts,354,15,783,,,,177
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,50,David Mullins,302,10,631,,,,175
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,51,Jonathon VanDam,220,10,613,,,,173
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,52,Chris Groh,369,10,610,,,,171
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,53,Chris Zaldain,263,10,610,,,,169
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,54,Jason Williamson,218,10,608,,,,167
Bassmaster Elite at St. Lawrence River,2018,August 23-26 2018,St. Lawrence River,NY,55,Jacob Wheeler,315,10,608,,,,165
