tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,1,Wesley Strader,368,20,1284,,,10,310
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,2,Skeet Reese,117,18,1222,,,,300
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,3,Kelley Jaye,279,20,1174,,,,290
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,4,Jason Christie,264,20,1144,,,,285
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,5,Fred Roumbanis,195,18,1125,,,,280
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,6,Josh Bertrand,276,20,1112,,,,276
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,7,Bobby Lane,167,20,1096,,,,272
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,8,Greg Hackney,122,20,1066,,,,268
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,9,Brent Chapman,126,19,1054,,,,264
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,10,Boyd Duckett,150,17,1033,,,5,260
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,11,Shaw E Grigsby,125,17,972,,40,,297
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,12,Mark Menendez,175,16,898,,,,254
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,13,Ott Defoe,149,15,838,,,,251
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,14,Chris Lane,168,15,838,,,,248
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,15,Jacob Powroznik,303,15,834,,,,245
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,16,Skylar Hamilton,355,15,831,,,,243
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,17,Todd Faircloth,120,15,822,,,,241
Berkley Bassmaster Elite at Kentucky Lake presented by Abu Garcia,2018,May 4-7 2018,Kentucky Lake,TN,18,Chris Zaldain,263,13,815,40,,5,284
