tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,1,Drew Benton,340,20,1087,,,5,310
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,2,Jacob Wheeler,315,20,1032,,,,300
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,3,Cliff Pace,183,20,988,,40,,330
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,4,Keith Combs,143,20,970,,,5,285
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,5,Brent Chapman,126,20,946,,,,280
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,6,Gerald Spohrer,360,20,889,,,,276
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,7,Bobby Lane,167,20,884,,,,272
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,8,Jamie Hartman,356,20,838,,,,268
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,9,"Ray Hanselman, Jr.",370,19,811,40,,5,309
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,10,Jason Christie,264,20,791,,,5,260
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,11,Marty Robinson,192,19,783,,,,257
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,12,Cliff Pirch,282,20,775,,,,254
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,13,Kevin VanDam,118,15,621,,,,251
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,14,Casey Ashley,135,14,605,,,,248
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,15,Jared Lintner,170,15,599,,,,245
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,16,Gary Klein,121,15,597,,,,243
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,17,Takahiro Omori,182,15,594,,,,241
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,18,Kelly Jordon,129,15,589,,,,239
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,19,Jeff Kriet,165,15,587,,,,237
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,20,Hank Cherry,265,15,582,,,,235
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,21,Jake Whitaker,377,15,581,,,,233
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,22,David Mullins,302,15,578,,,,231
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,23,Mark Daniels,353,15,578,,,,229
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,24,Skeet Reese,117,13,577,,,,227
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,25,Jacob Powroznik,303,15,572,,,,225
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,26,Josh Bertrand,276,15,567,,,,223
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,27,Rick Clunn,142,15,565,,,,221
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,28,Mike McClelland,123,15,564,,,,219
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,29,Brent Ehrler,319,15,563,,,,217
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,30,Greg Vinson,213,15,557,,,,215
Toyota Bassmaster Texas Fest benefiting the Texas Parks and Wildlife Department,2018,May 17-20 2018,Lake Travis,TX,31,Chad Pipkens,280,14,554,,,,213
