tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,1,Ott Defoe,149,15,787,,,15,310
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,2,Jacob Wheeler,315,15,725,,,5,300
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,3,Jesse Wiggins,362,15,702,,,5,290
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,4,Michael Iaconelli,124,15,681,,,5,285
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,5,Mark Daniels,353,15,668,,40,5,320
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,6,Brandon Lester,300,15,645,,,5,276
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,7,Wesley Strader,368,15,632,,,5,272
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,8,Edwin Evers,152,15,631,,40,5,308
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,9,Dean Rojas,193,15,566,,,5,264
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,10,Brandon Palaniuk,184,12,559,,,5,260
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,11,Roy Hawk,371,13,548,,,5,257
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,12,Chris Zaldain,263,11,544,40,,10,294
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,13,Adrian Avena,339,15,522,,,5,251
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,14,Bobby Lane,167,15,521,,,5,248
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,15,Seth Feider,320,14,509,,,5,245
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,16,Kyle Dorsett,413,11,506,,,5,243
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,17,Justin Lucas,301,12,505,,,5,241
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,18,Cliff Pirch,282,12,504,,,5,239
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,19,Brent Chapman,126,13,493,,,5,237
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,20,Kevin VanDam,118,15,481,,,5,235
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,21,Skeet Reese,117,12,433,,,5,233
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,22,Jacob Powroznik,303,10,423,,,5,231
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,23,James Elam,277,11,406,,,5,229
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,24,Todd Faircloth,120,10,403,,,5,227
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,25,Cliff Pace,183,11,379,,,5,225
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,26,Frank Talley,407,9,318,,,5,223
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,27,Jared Lintner,170,6,301,,,5,221
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,28,Josh Bertrand,276,9,301,,,5,219
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,29,Casey Ashley,135,10,293,,,5,217
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,30,Chris Lane,168,10,290,,,5,215
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,31,Jake Whitaker,377,10,289,,,5,213
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,32,Drew Benton,340,10,279,,,5,211
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,33,Derek Hudnall,397,9,277,,,5,209
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,34,Brett Hite,298,8,273,,,5,207
2019 Bassmaster Classic presented by DICK'S Sporting Goods,2019,March 15-17 2019,Tennessee River,TN,35,Gerald Swindle,208,7,265,,,5,205
