tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,1,Jamie Hartman,356,20,1293,,,10,305
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,2,Jeff Gustafson,394,20,1283,40,,5,345
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,3,Chris Zaldain,263,20,1264,,,5,295
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,4,David Mullins,302,20,1214,,,,285
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,5,Seth Feider,320,20,1213,,,,280
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,6,Brandon Lester,300,20,1209,,,,276
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,7,Cory Johnston,400,20,1143,,,,272
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,8,Stetson Blaylock,350,20,1136,,,,268
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,9,Drew Cook,391,20,1106,,,,264
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,10,Cliff Prince,261,20,1044,,,,260
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,11,Scott Canterbury,387,15,876,,,,257
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,12,Keith Combs,143,15,875,,,,254
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,13,Hunter Shryock,373,15,870,,,,251
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,14,Mike Huff,398,15,868,,,,248
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,15,Hank Cherry,265,15,854,,,,245
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,16,Chad Pipkens,280,15,853,,,,243
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,17,Brandon Card,256,15,850,,,,241
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,18,Bernie Schultz,199,15,837,,,,239
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,19,Drew Benton,340,15,834,,,,237
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,20,Chris Johnston,399,15,823,,,,235
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,21,Bill Lowen,171,15,821,,,,233
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,22,Paul Mueller,294,14,817,,,,231
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,23,Brett Preuett,313,15,817,,,,229
2019 Bassmaster Elite at Cayuga Lake,2019,August 22-25 2019,Cayuga Lake,NY,24,Patrick Walters,408,15,812,,,,227
