tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,1,Paul Mueller,294,20,1104,,,5,305
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,2,Chris Zaldain,263,20,1090,,,5,300
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,3,Keith Combs,143,20,1057,,,,290
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,4,David Mullins,302,20,1054,40,,5,330
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,5,Todd Auten,386,20,1014,,,,280
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,6,Bill Weidler,376,20,995,,,,276
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,7,Brandon Card,256,20,964,,,,272
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,8,Stetson Blaylock,350,20,957,,,,268
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,9,Clent Davis,343,20,936,,,,264
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,10,Chris Johnston,399,20,919,,,,260
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,11,Scott Canterbury,387,15,727,,,,257
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,12,Drew Cook,391,15,724,,,,254
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,13,Shane Lineberger,347,15,712,,,,251
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,14,Brandon Cobb,390,15,709,,,,248
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,15,Lee Livesay,402,15,706,,,,245
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,16,Randy Sullivan,374,15,701,,,,243
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,17,Matt Herren,159,15,696,,,,241
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,18,Jesse Tacoronte,361,15,691,,,,239
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,19,Micah Frazier,321,14,687,,,,237
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,20,Brian Snowden,205,15,683,,,,235
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,21,Brad Whatley,410,15,679,,,,233
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,22,Patrick Walters,408,15,678,,,,231
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,23,Bill Lowen,171,15,673,,40,,269
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,24,Chad Morgenthaler,289,15,671,,,,227
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,25,Ray Hanselman,395,15,666,,,,225
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,26,Seth Feider,320,15,666,,,,223
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,27,Hunter Shryock,373,15,660,,,,221
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,28,Cliff Pirch,282,15,648,,,,219
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,29,Rick Morris,178,14,646,,,,217
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,30,Ed Loughran,403,15,630,,,,215
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,31,Stephen Kennedy,128,15,628,,,,213
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,32,Mike Huff,398,15,593,,,,211
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,33,Yusuke Miyazaki,176,14,581,,,,209
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,34,Garrett Paquette,405,12,564,,,,207
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,35,Randy Pierson,412,15,554,,,,205
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,36,Drew Benton,340,10,418,,,,203
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,37,Shane Lehew,401,10,414,,,,201
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,38,Hank Cherry,265,10,414,,,,199
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,39,Rob Digh,392,10,412,,,,197
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,40,Matt Arey,385,10,412,,,,195
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,41,Clark Wendlandt,409,10,410,,,,193
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,42,Caleb Sumrall,375,10,405,,,,191
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,43,Skylar Hamilton,355,10,405,,,,189
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,44,Brandon Lester,300,10,401,,,,187
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,45,Derek Hudnall,397,10,397,,,,185
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,46,Carl Jocumsen,323,9,392,,,,183
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,47,Greg Dipalma,393,10,392,,,,181
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,48,Jeff Gustafson,394,7,386,,,5,184
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,49,Cory Johnston,400,10,373,,,,177
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,50,Jason Williamson,218,9,373,,,,175
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,51,Tyler Carriere,351,10,369,,,,173
2019 Bassmaster Elite at Lake Lanier,2019,February 14-17 2019,Lake Lanier,GA,52,Rick Clunn,142,10,369,,,,171
