tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,1,Carl Jocumsen,323,19,879,40,,5,345
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,2,Chris Zaldain,263,20,821,,,,300
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,3,Cory Johnston,400,20,774,,,,290
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,4,Brandon Card,256,20,755,,,,285
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,5,Kyle Monti,372,17,745,,,5,285
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,6,David Mullins,302,20,730,,,,276
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,7,Keith Combs,143,20,728,,,,272
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,8,Stetson Blaylock,350,20,677,,,5,273
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,9,Todd Auten,386,16,614,,,,264
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,10,Hunter Shryock,373,19,546,,,,260
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,11,Brandon Lester,300,14,477,,,,257
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,12,Ed Loughran,403,14,473,,,,254
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,13,Frank Talley,407,14,466,,,5,251
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,14,Lee Livesay,402,14,464,,,,248
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,15,Shane Lehew,401,15,458,,,,245
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,16,Harvey Horne,396,11,450,,,,243
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,17,Brock Mosley,348,12,446,,,,241
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,18,Tyler Rivet,406,13,445,,,,239
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,19,Scott Canterbury,387,15,440,,,,237
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,20,Matt Arey,385,15,437,,,,235
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,21,Caleb Sumrall,375,13,436,,40,,273
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,22,Clent Davis,343,15,429,,,,231
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,23,Micah Frazier,321,13,427,,,,229
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,24,John Crews,146,13,418,,,,227
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,25,Stephen Kennedy,128,13,418,,,,225
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,26,Jake Whitaker,377,10,413,,,,223
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,27,Patrick Walters,408,15,395,,,,221
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,28,Drew Cook,391,11,390,,,,219
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,29,Ray Hanselman,395,10,374,,,,217
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,30,Luke Palmer,404,12,360,,,,215
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,31,Drew Benton,340,13,357,,,,213
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,32,Mike Huff,398,12,356,,,,211
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,33,Jesse Tacoronte,361,10,352,,,,209
2019 Bassmaster Elite at Lake Tenkiller,2019,September 19-22 2019,Lake Tenkiller,OK,34,Jeff Gustafson,394,12,348,,,,207
