tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,1,Stetson Blaylock,350,20,815,40,,5,350
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,2,Scott Canterbury,387,20,806,,,5,295
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,3,Cory Johnston,400,20,789,,,,290
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,4,Jason Williamson,218,20,739,,40,5,330
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,5,John Crews,146,20,738,,,,280
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,6,Koby Kreiger,324,20,723,,,,276
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,7,Patrick Walters,408,20,704,,,,272
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,8,Luke Palmer,404,20,681,,,,268
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,9,Jesse Tacoronte,361,20,660,,,,264
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,10,Clent Davis,343,17,653,,,,260
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,11,Caleb Sumrall,375,15,532,,,,257
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,12,Bill Lowen,171,14,518,,,,259
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,13,Brock Mosley,348,15,511,,,,251
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,14,Rob Digh,392,15,510,,,,248
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,15,Jake Whitaker,377,15,509,,,,245
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,16,Lee Livesay,402,15,504,,,5,243
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,17,Tyler Rivet,406,15,498,,,,241
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,18,Matt Herren,159,15,494,,,,239
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,19,Cliff Pirch,282,15,492,,,,237
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,20,Shane Lehew,401,14,486,,,,235
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,21,Bill Weidler,376,12,485,,,,233
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,22,Mark Menendez,175,15,479,,,,231
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,23,Jamie Hartman,356,15,478,,,,229
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,24,Cliff Prince,261,15,473,,,,227
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,25,Hunter Shryock,373,10,466,,,,225
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,26,Chris Johnston,399,15,464,,,,223
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,27,Yusuke Miyazaki,176,15,454,,,,221
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,28,Brandon Lester,300,15,454,,,,219
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,29,Garrett Paquette,405,12,448,,,,217
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,30,Brandon Card,256,14,434,,,,215
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,31,Dale Hightower,160,14,421,,,,213
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,32,Mike Huff,398,15,415,,,,211
2019 Bassmaster Elite at Winyah Bay,2019,April 11-14 2019,Winyah Bay,SC,33,Ray Hanselman,395,15,388,,,,209
