tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,1,Brandon Cobb,390,20,1824,40,40,10,390
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,2,Garrett Paquette,405,20,1631,,,,295
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,3,Micah Frazier,321,20,1548,,,,290
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,4,Brandon Card,256,20,1530,,,,285
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,5,Jeff Gustafson,394,19,1509,,,,280
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,6,Drew Cook,391,20,1505,,,,276
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,7,Keith Combs,143,20,1495,,,,272
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,8,Chad Pipkens,280,19,1452,,,10,278
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,9,Cory Johnston,400,20,1367,,,,264
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,10,Drew Benton,340,20,1336,,,,260
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,11,Luke Palmer,404,15,1035,,,,257
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,12,Seth Feider,320,15,1023,,,,254
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,13,Chris Zaldain,263,14,1018,,,,251
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,14,Derek Hudnall,397,15,1004,,,,248
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,15,Jamie Hartman,356,15,1002,,,,245
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,16,Stetson Blaylock,350,15,1000,,,,243
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,17,Jay Yelas,411,15,971,,,,241
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,18,Hank Cherry,265,15,968,,,,239
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,19,Matt Arey,385,15,959,,,,237
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,20,Matt Herren,159,15,958,,,,235
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,21,Bill Lowen,171,15,946,,,,233
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,22,Shane Lehew,401,15,934,,,,231
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,23,Mark Menendez,175,15,913,,,,229
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,24,Caleb Sumrall,375,15,893,,,,227
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,25,Kyle Monti,372,15,890,,,,225
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,26,Paul Mueller,294,15,881,,,,223
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,27,Hunter Shryock,373,13,869,,,,221
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,28,Cliff Pirch,282,15,824,,,,219
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,29,Patrick Walters,408,15,821,,,,217
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,30,Skylar Hamilton,355,15,807,,,,215
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,31,Brian Snowden,205,15,787,,,,213
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,32,Mike Huff,398,12,773,,,,211
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,33,John Crews,146,13,735,,,,209
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,34,Clent Davis,343,14,731,,,,207
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,35,Bernie Schultz,199,15,716,,,,205
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,36,Chris Groh,369,9,502,,,,203
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,37,Brandon Lester,300,10,499,,,,201
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,38,Jesse Tacoronte,361,10,499,,,,199
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,39,Lee Livesay,402,9,497,,,,197
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,40,Chris Johnston,399,10,491,,,,195
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,41,Ray Hanselman,395,10,484,,,,193
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,42,Ed Loughran,403,10,476,,,,191
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,43,Brett Preuett,313,10,469,,,,189
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,44,Harvey Horne,396,10,469,,,,187
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,45,Greg Dipalma,393,8,465,,,,185
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,46,David Mullins,302,10,461,,,,183
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,47,Gary Clouse,389,10,448,,,,181
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,48,Shane Lineberger,347,8,446,,,,179
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,49,Scott Canterbury,387,10,434,,,,177
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,50,Yusuke Miyazaki,176,10,431,,,,175
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,51,Robbie Latuso,358,10,425,,,,173
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,52,Todd Auten,386,10,423,,,,171
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,53,Frank Talley,407,10,423,,,,169
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,54,Stephen Kennedy,128,9,421,,,,167
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,55,Kelley Jaye,279,10,411,,,,165
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,56,Koby Kreiger,324,10,410,,,,163
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,57,Jake Whitaker,377,10,405,,,,161
2019 Toyota Bassmaster Texas Fest benefiting Texas Parks & Wildlife Department,2019,May 2-6 2019,Lake Fork,TX,58,Chad Morgenthaler,289,10,405,,,,159
