tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,1,Seth Feider,320,15,1247,40,40,20,395
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,2,Stetson Blaylock,350,15,1143,,,5,295
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,3,Clark Wendlandt,409,15,1066,,,5,290
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,4,Cliff Prince,261,15,1056,,,5,285
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,5,Paul Mueller,294,15,1051,,,5,280
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,6,Shane Lehew,401,15,1038,,,5,276
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,7,Mike Huff,398,15,1030,,,5,272
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,8,Cory Johnston,400,15,1010,,,5,268
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,9,Hunter Shryock,373,15,1006,,,5,264
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,10,Matt Arey,385,15,1004,,,5,260
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,11,Skylar Hamilton,355,15,1004,,,5,257
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,12,Micah Frazier,321,15,985,,,5,254
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,13,Jeff Gustafson,394,15,952,,,5,251
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,14,Scott Canterbury,387,15,948,,,5,248
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,15,Chris Zaldain,263,15,948,,,5,245
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,16,Brandon Lester,300,15,948,,,5,243
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,17,Caleb Sumrall,375,15,945,,,5,241
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,18,Jason Williamson,218,15,942,,,5,239
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,19,Keith Combs,143,15,941,,,5,237
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,20,David Mullins,302,15,928,,,5,235
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,21,Ed Loughran,403,15,918,,,5,233
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,22,Mark Menendez,175,15,916,,,5,231
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,23,Todd Auten,386,15,907,,,5,229
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,24,Jake Whitaker,377,15,898,,,5,227
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,25,Jamie Hartman,356,15,863,,,5,225
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,26,Chad Morgenthaler,289,15,845,,,5,223
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,27,Lee Livesay,402,15,832,,,5,221
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,28,Clent Davis,343,15,818,,,5,219
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,29,Luke Palmer,404,13,811,,,5,217
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,30,Kelley Jaye,279,14,807,,,5,215
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,31,Patrick Walters,408,15,804,,,5,213
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,32,Jay Yelas,411,15,803,,,5,211
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,33,Drew Benton,340,15,797,,,5,209
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,34,Brandon Cobb,390,15,786,,,5,207
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,35,Hank Cherry,265,13,776,,,5,205
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,36,Drew Cook,391,12,750,,,5,203
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,37,Chad Pipkens,280,13,750,,,5,201
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,38,Chris Johnston,399,15,744,,,5,199
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,39,Cliff Pirch,282,12,727,,,5,197
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,40,Derek Hudnall,397,12,699,,,5,195
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,41,Matt Herren,159,11,696,,,5,193
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,42,Brock Mosley,348,15,692,,,5,191
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,43,John Crews,146,15,679,,,5,189
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,44,Tyler Rivet,406,13,661,,,5,187
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,45,Brandon Card,256,12,633,,,5,185
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,46,Bill Lowen,171,12,570,,,5,183
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,47,Brian Snowden,205,12,556,,,5,181
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,48,Garrett Paquette,405,8,474,,,5,179
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,49,Greg Dipalma,393,8,471,,,5,177
Toyota Bassmaster Angler of the Year Championship,2019,September 29-1 2019,Lake St. Clair,MI,50,Ray Hanselman,395,7,329,,,5,175
