tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,1,Hank Cherry,265,15,1045,40,,10,355
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,2,Todd Auten,386,15,938,,40,5,335
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,3,Stetson Blaylock,350,15,929,,,5,290
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,4,Seth Feider,320,15,864,,,10,285
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,5,Micah Frazier,321,15,864,,,5,280
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,6,John Crews,146,15,861,,,5,276
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,7,Brandon Lester,300,15,857,,,5,272
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,8,Lee Livesay,402,15,844,,,10,268
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,9,Brandon Card,256,15,804,,,5,264
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,10,Matt Herren,159,15,789,,,5,260
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,11,Jason Williamson,218,15,782,,,5,257
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,12,Skylar Hamilton,355,14,770,,,5,254
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,13,David Mullins,302,14,768,,,5,251
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,14,Keith Combs,143,13,735,,,10,248
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,15,Luke Palmer,404,15,722,,,5,245
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,16,Chris Zaldain,263,15,715,,,5,243
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,17,Bill Lowen,171,13,714,,,5,241
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,18,Clent Davis,343,13,713,,,5,239
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,19,Caleb Kuphall,423,14,710,,,5,237
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,20,Grae Buck,427,11,705,,,5,235
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,21,John Cox,378,14,704,,,5,233
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,22,Drew Cook,391,15,687,,,5,231
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,23,Greg Dipalma,393,11,553,,,5,229
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,24,Cody Huff,430,11,534,,,5,227
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,25,Hunter Shryock,373,9,445,,,5,225
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,26,Caleb Sumrall,375,8,410,,,5,223
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,27,Bob Downey,418,9,395,,,5,221
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,28,Shane Lehew,401,10,388,,,5,219
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,29,Drew Benton,340,8,378,,,5,217
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,30,Jake Whitaker,377,7,371,,,5,215
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,31,Jeff Gustafson,394,7,355,,,5,213
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,32,Patrick Walters,408,10,355,,,5,211
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,33,Brian Snowden,205,8,349,,,5,209
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,34,Chris Johnston,399,9,345,,,5,207
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,35,Darold Gleason,429,7,339,,,5,205
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,36,Jamie Hartman,356,9,338,,,5,203
2020 Academy Sports + Outdoors Bassmaster Classic,2020,March 6-8 2020,Lake Guntersville,AL,37,Whitney Stephens,336,7,321,,,5,201
