tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,1,Lee Livesay,402,20,930,,,,310
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,2,Mike Huff,398,18,902,,40,10,335
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,3,Jake Whitaker,377,20,784,,,,290
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,4,Todd Auten,386,18,722,,,,285
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,5,Austin Felix,419,17,713,,,,280
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,6,Stetson Blaylock,350,16,692,,,,281
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,7,Chad Pipkens,280,13,626,,,,272
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,8,John Cox,378,12,561,,,,268
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,9,Ed Loughran,403,12,550,,,,264
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,10,Kyle Welcher,426,13,500,,,,260
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,11,Bill Lowen,171,14,470,,,,257
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,12,Gerald Swindle,208,13,469,,,,254
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,13,Caleb Sumrall,375,12,453,,,,251
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,14,Wes Logan,424,10,453,,,,248
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,15,Stephen Kennedy,128,10,440,,,,245
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,16,Matt Arey,385,10,438,,,,243
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,17,Cliff Pirch,282,10,433,,,,241
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,18,David Mullins,302,13,432,,,,239
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,19,Harvey Horne,396,9,430,,,,237
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,20,Brad Whatley,410,10,429,,,,235
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,21,Jeff Gustafson,394,11,425,,,,233
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,22,Patrick Walters,408,11,423,,,,231
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,23,Caleb Kuphall,423,12,414,,,,229
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,24,Jamie Hartman,356,11,404,,,,227
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,25,Hank Cherry,265,11,400,,,,225
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,26,Frank Talley,407,12,393,,,,223
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,27,Hunter Shryock,373,10,389,,,,221
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,28,Scott Canterbury,387,9,388,,,,219
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,29,Chris Zaldain,263,8,386,,,,217
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,30,Skylar Hamilton,355,9,384,,,,215
2020 Bassmaster Elite at Chickamauga Lake,2020,October 16-19 2020,Chickamauga Lake,TN,31,Brandon Cobb,390,7,370,40,,5,258
