tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,1,Brandon Palaniuk,184,20,1281,,,5,305
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,2,Seth Feider,320,20,1262,,40,,335
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,3,Jamie Hartman,356,20,1253,40,,5,345
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,4,David Mullins,302,20,1245,,,5,285
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,5,Jason Williamson,218,20,1227,,,,280
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,6,Ed Loughran,403,20,1217,,,,276
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,7,Koby Kreiger,324,20,1204,,,5,272
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,8,Brock Mosley,348,20,1186,,,,268
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,9,Cory Johnston,400,20,1181,,,,264
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,10,Taku Ito,422,20,1178,,,,260
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,11,Scott Canterbury,387,15,900,,,,257
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,12,Buddy Gross,420,15,884,,,,254
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,13,Micah Frazier,321,15,882,,,,251
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,14,Paul Mueller,294,15,881,,,,248
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,15,Jeff Gustafson,394,15,879,,,,245
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,16,Shane Lehew,401,15,869,,,,243
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,17,Matt Arey,385,15,865,,,,241
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,18,Austin Felix,419,15,860,,,,239
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,19,Bernie Schultz,199,15,860,,,,237
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,20,Todd Auten,386,15,858,,,,235
2020 Bassmaster Elite at Lake Champlain,2020,July 30-2 2020,Lake Champlain,NY,21,Chad Pipkens,280,15,848,,,,233
