tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,1,Buddy Gross,420,20,1352,40,,5,345
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,2,Scott Canterbury,387,20,1337,,,,300
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,3,Drew Benton,340,20,1316,,,,290
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,4,Brandon Cobb,390,20,1272,,,,285
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,5,Drew Cook,391,20,1253,,,,280
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,6,Caleb Kuphall,423,20,1236,,,,276
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,7,Matt Arey,385,20,1225,,,5,277
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,8,Clark Wendlandt,409,20,1205,,,,268
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,9,Jamie Hartman,356,20,1191,,,,264
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,10,Chris Zaldain,263,19,1121,,40,,300
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,11,Shane Lehew,401,15,905,,,5,257
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,12,Brandon Lester,300,15,904,,,,254
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,13,Chad Pipkens,280,15,902,,,,251
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,14,Keith Combs,143,15,901,,,,248
2020 Bassmaster Elite at Lake Eufaula,2020,June 10-13 2020,Lake Eufaula,AL,15,Kyle Monti,372,15,885,,,,245
