tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,1,Frank Talley,407,20,1027,,,5,305
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,2,Randy Sullivan,374,19,991,,,5,295
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,3,Luke Palmer,404,20,978,,,,290
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,4,Wes Logan,424,20,974,,,5,290
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,5,Kyle Welcher,426,20,959,40,,5,325
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,6,Bob Downey,418,20,942,,,,276
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,7,Stetson Blaylock,350,20,913,,,,272
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,8,Brandon Cobb,390,20,909,,,,273
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,9,Scott Canterbury,387,19,858,,,,264
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,10,Chad Morgenthaler,289,17,801,,,,260
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,11,Seth Feider,320,15,693,,,,257
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,12,Drew Cook,391,14,691,,,,254
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,13,Cory Johnston,400,15,687,,,,251
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,14,Bill Weidler,376,15,675,,,,248
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,15,Carl Jocumsen,323,15,674,,,,245
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,16,Jason Williamson,218,11,667,,,,243
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,17,Brandon Card,256,15,657,,,,241
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,18,Micah Frazier,321,15,656,,,,239
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,19,Hank Cherry,265,15,646,,,,237
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,20,Stephen Kennedy,128,13,635,,,,235
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,21,Clark Wendlandt,409,15,629,,,,233
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,22,Chris Zaldain,263,14,624,,40,,271
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,23,Brock Mosley,348,15,622,,,,229
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,24,Garrett Paquette,405,13,618,,,,227
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,25,Clent Davis,343,15,613,,,,225
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,26,Tyler Rivet,406,15,602,,,,223
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,27,Todd Auten,386,15,595,,,,221
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,28,Jeff Gustafson,394,14,579,,,,219
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,29,Jay Yelas,411,15,560,,,,217
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,30,Skylar Hamilton,355,14,559,,,,215
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,31,Mike Huff,398,13,555,,,,213
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,32,Matt Arey,385,14,550,,,,211
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,33,Kyle Monti,372,13,548,,,,209
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,34,Chris Johnston,399,12,540,,,,207
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,35,David Mullins,302,11,518,,,,205
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,36,Randy Pierson,412,12,509,,,,203
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,37,Hunter Shryock,373,11,494,,,,201
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,38,Gerald Swindle,208,12,492,,,,199
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,39,Taku Ito,422,14,485,,,,197
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,40,Austin Felix,419,8,356,,,,195
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,41,Brett Preuett,313,10,344,,,,193
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,42,Brian Snowden,205,9,343,,,,191
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,43,Cliff Prince,261,9,338,,,,189
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,44,Jake Whitaker,377,9,336,,,,187
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,45,David Fritts,354,9,331,,,,185
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,46,Rick Morris,178,9,328,,,,183
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,47,Bryan Schmitt,425,8,328,,,,181
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,48,Buddy Gross,420,10,327,,,,179
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,49,Matt Herren,159,9,324,,,,177
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,50,Shane Lehew,401,9,321,,,,175
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,51,Brad Whatley,410,9,316,,,,173
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,52,Koby Kreiger,324,8,313,,,,171
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,53,John Cox,378,5,308,,,,169
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,54,Chris Groh,369,7,308,,,,167
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,55,Gary Clouse,389,7,307,,,,165
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,56,Lee Livesay,402,8,302,,,,163
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,57,Patrick Walters,408,7,300,,,,161
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,58,Rob Digh,392,7,296,,,,159
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,59,Brandon Palaniuk,184,9,296,,,,157
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,60,Derek Hudnall,397,7,287,,,,155
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,61,Brandon Lester,300,8,284,,,,153
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,62,Robbie Latuso,358,7,283,,,,151
2020 Bassmaster Elite at Lake Guntersville,2020,September 30-3 2020,Lake Guntersville,AL,63,Caleb Sumrall,375,8,277,,,,149
