tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,1,Bill Weidler,376,20,1383,,,5,305
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,2,Cory Johnston,400,20,1375,,,,295
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,3,John Cox,378,20,1372,40,,5,345
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,4,Clark Wendlandt,409,20,1369,,,5,285
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,5,Jake Whitaker,377,20,1362,,,,280
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,6,Chris Johnston,399,20,1357,,,,276
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,7,Shane Lehew,401,20,1355,,,,272
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,8,Cody Hollen,421,20,1347,,,5,268
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,9,Jay Yelas,411,20,1332,,,,264
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,10,Taku Ito,422,20,1276,,,,260
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,11,David Mullins,302,15,981,,,,257
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,12,Paul Mueller,294,15,979,,,,254
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,13,Austin Felix,419,15,975,,,,251
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,14,Chad Morgenthaler,289,15,974,,,,248
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,15,Bob Downey,418,15,963,,,,245
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,16,Destin DeMarion,417,15,962,,,,243
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,17,Brock Mosley,348,15,954,,,,241
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,18,Hunter Shryock,373,15,954,,,,239
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,19,Drew Benton,340,15,948,,,,237
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,20,Stephen Kennedy,128,15,940,,,,235
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,21,Randy Sullivan,374,15,933,,,,233
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,22,Clent Davis,343,15,926,,,,231
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,23,Ray Hanselman,395,15,922,,,,229
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,24,Brandon Cobb,390,15,914,,,,227
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,25,Seth Feider,320,15,908,,,,225
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,26,Drew Cook,391,15,901,,,,223
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,27,Brandon Card,256,15,901,,,,221
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,28,Tyler Carriere,351,15,898,,,,219
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,29,Bernie Schultz,199,15,887,,,,217
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,30,Ed Loughran,403,15,878,,40,,255
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,31,Brian Snowden,205,15,874,,,,213
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,32,Micah Frazier,321,15,871,,,,211
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,33,Matt Herren,159,15,868,,,,209
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,34,Chris Groh,369,15,857,,,,207
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,35,Bill Lowen,171,15,856,,,,205
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,36,Derek Hudnall,397,15,841,,,,203
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,37,Todd Auten,386,15,830,,,,201
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,38,Frank Talley,407,13,800,,,,199
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,39,Brett Preuett,313,13,774,,,,197
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,40,Mike Huff,398,14,750,,,,195
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,41,Gary Clouse,389,10,571,,,,193
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,42,Jesse Tacoronte,361,10,570,,,,191
2020 Bassmaster Elite at Lake St. Clair,2020,August 20-23 2020,Lake St. Clair,MI,43,Lee Livesay,402,10,564,,,,189
