tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,1,Chris Johnston,399,20,1560,,,5,305
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,2,Paul Mueller,294,20,1534,40,40,10,390
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,3,Brock Mosley,348,20,1346,,,,290
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,4,Chad Morgenthaler,289,20,1299,,,,285
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,5,Micah Frazier,321,20,1297,,,,280
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,6,Taku Ito,422,20,1290,,,,276
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,7,Cory Johnston,400,20,1289,,,5,272
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,8,Clark Wendlandt,409,18,1227,,,,268
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,9,Brad Whatley,410,20,1194,,,,264
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,10,Brandon Palaniuk,184,18,1057,,,,260
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,11,Chris Zaldain,263,15,953,,,,257
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,12,Jeff Gustafson,394,15,931,,,,254
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,13,Stephen Kennedy,128,15,912,,,,251
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,14,Garrett Paquette,405,15,912,,,,248
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,15,Bernie Schultz,199,15,908,,,,245
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,16,Matt Herren,159,15,907,,,,243
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,17,Greg Dipalma,393,15,896,,,,241
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,18,Seth Feider,320,15,884,,,,239
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,19,Brian Snowden,205,15,878,,,,237
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,20,Carl Jocumsen,323,15,867,,,,235
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,21,Hunter Shryock,373,15,865,,,,233
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,22,Mike Huff,398,15,858,,,,231
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,23,Cliff Pirch,282,15,852,,,,229
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,24,Cliff Prince,261,15,847,,,,227
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,25,Austin Felix,419,15,840,,,,225
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,26,Clent Davis,343,15,835,,,,223
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,27,Jamie Hartman,356,15,832,,,,221
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,28,Ed Loughran,403,15,832,,,,219
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,29,Chad Pipkens,280,15,831,,,,217
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,30,Brandon Card,256,15,827,,,,215
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,31,Drew Benton,340,15,822,,,,213
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,32,Bill Lowen,171,15,818,,,,211
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,33,Skylar Hamilton,355,15,801,,,,209
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,34,Randy Sullivan,374,15,798,,,,207
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,35,Buddy Gross,420,15,791,,,,205
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,36,Ray Hanselman,395,15,790,,,,203
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,37,David Mullins,302,15,785,,,,201
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,38,Frank Talley,407,14,782,,,,199
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,39,Caleb Kuphall,423,15,756,,,,197
2020 SiteOne Bassmaster Elite at St. Lawrence River,2020,July 23-26 2020,St. Lawrence River,NY,40,Bob Downey,418,15,685,,,,195
