tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,1,Patrick Walters,408,20,1676,40,,15,355
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,2,Keith Combs,143,20,1202,,,,295
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,3,Jay Yelas,411,20,1118,,,,290
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,4,Brandon Palaniuk,184,18,1109,,,,285
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,5,Brad Whatley,410,20,1097,,,,280
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,6,Ed Loughran,403,18,1069,,,,276
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,7,Lee Livesay,402,19,1027,,,,272
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,8,Brock Mosley,348,17,985,,,,268
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,9,Stetson Blaylock,350,16,964,,,,264
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,10,Skylar Hamilton,355,17,868,,,,260
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,11,Seth Feider,320,14,772,,40,,297
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,12,Brandon Lester,300,15,772,,,,254
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,13,Chris Zaldain,263,14,763,,,,251
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,14,Buddy Gross,420,14,761,,,,248
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,15,Koby Kreiger,324,15,758,,,,245
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,16,John Cox,378,15,748,,,,243
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,17,Rick Clunn,142,11,742,,,5,246
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,18,Chad Pipkens,280,12,734,,,,239
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,19,Derek Hudnall,397,14,711,,,,237
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,20,Rob Digh,392,14,702,,,,235
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,21,Hunter Shryock,373,15,698,,,,233
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,22,Scott Canterbury,387,15,696,,,,231
2020 Toyota Bassmaster Texas Fest,2020,November 5-8 2020,Lake Fork,TX,23,Caleb Kuphall,423,12,667,,,,229
