tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,1,Bryan New,438,20,1271,,,5,305
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,2,Greg Hackney,122,20,1118,,,,295
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,3,Seth Feider,320,20,1110,,,,290
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,4,Patrick Walters,408,20,1101,40,,5,330
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,5,Mark Menendez,175,20,1077,,,,280
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,6,Hank Cherry,265,18,1061,,,,276
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,7,Cliff Prince,261,20,1058,,,,272
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,8,Bryan Schmitt,425,20,1032,,,,268
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,9,Derek Hudnall,397,20,1011,,40,,304
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,10,Gary Clouse,389,14,865,,,10,270
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,11,Mike Huff,398,15,814,,,,257
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,12,Brandon Lester,300,13,804,,,,254
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,13,Matt Herren,159,15,802,,,,251
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,14,Brandon Palaniuk,184,14,799,,40,,288
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,15,Wes Logan,424,15,790,,,,245
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,16,Caleb Kuphall,423,15,779,,,,243
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,17,Cory Johnston,400,15,775,,,,241
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,18,Josh Stracner,441,15,766,,,,239
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,19,Keith Combs,143,15,765,,,,237
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,20,Clent Davis,343,15,760,,,,235
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,21,Carl Jocumsen,323,15,698,,,,233
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,22,Brian Snowden,205,12,694,,,,231
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,23,Drew Cook,391,15,694,,,,229
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,24,Jeff Gustafson,394,15,684,,,,227
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,25,Gerald Swindle,208,15,678,,,,225
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,26,Justin Hamner,435,15,672,,,,223
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,27,Drew Benton,340,15,664,,,,221
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,28,Buddy Gross,420,15,661,,,,219
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,29,KJ Queen,439,15,661,,,,217
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,30,Ed Loughran,403,13,657,,,,215
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,31,Randy Pierson,412,14,656,,,,213
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,32,Luke Palmer,404,15,648,,,,211
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,33,Stetson Blaylock,350,14,641,,,,209
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,34,Chris Johnston,399,15,637,,,,207
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,35,Bill Weidler,376,15,632,,,,205
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,36,Micah Frazier,321,13,616,,,,203
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,37,John Cox,378,13,615,,,,201
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,38,Darold Gleason,429,15,600,,,,199
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,39,Austin Felix,419,15,595,,,,197
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,40,Bernie Schultz,199,13,589,,,,195
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,41,Brad Whatley,410,15,588,,,,193
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,42,Quentin Cappo,388,15,564,,,,191
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,43,Matt Arey,385,15,562,,,,189
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,44,Rob Digh,392,15,545,,,,187
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,45,Justin Atkins,433,13,544,,,,185
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,46,Hunter Shryock,373,15,540,,,,183
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,47,Kyle Welcher,426,15,523,,,,181
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,48,Brandon Cobb,390,14,516,,,,179
2021 AFTCO Bassmaster Elite at St. Johns River,2021,February 11-14 2021,S. John's River,FL,49,Kenta Kimura,436,10,513,,,,177
