tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,1,Wes Logan,424,20,921,40,,10,350
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,2,Paul Mueller,294,20,899,,40,5,340
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,3,Gerald Swindle,208,20,866,,,,290
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,4,Jason Christie,264,20,845,,,,285
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,5,Matt Arey,385,20,833,,,,280
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,6,Bryan New,438,20,802,,,,276
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,7,Bob Downey,418,20,794,,,,272
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,8,Brock Mosley,348,20,759,40,,5,313
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,9,Austin Felix,419,20,740,,,,264
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,10,Todd Auten,386,17,683,,,,260
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,11,Brandon Palaniuk,184,15,574,,,,257
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,12,Seth Feider,320,15,573,,,,254
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,13,Clark Wendlandt,409,15,571,,,,251
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,14,Drew Benton,340,15,560,,,,248
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,15,Yusuke Miyazaki,176,15,557,,,,245
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,16,Greg Hackney,122,15,556,,,,243
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,17,Clent Davis,343,15,552,,,,241
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,18,Buddy Gross,420,14,550,,,,239
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,19,Brandon Cobb,390,15,550,,,,237
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,20,Cory Johnston,400,15,542,,,,235
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,21,Micah Frazier,321,15,538,,,,233
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,22,Jay Yelas,411,14,531,,,,231
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,23,Randy Sullivan,374,14,528,,,,229
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,24,Hank Cherry,265,15,526,,,,227
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,25,Jamie Hartman,356,15,514,,,,225
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,26,John Crews,146,15,514,,,,223
2021 Bassmaster Elite at Neely Henry Lake,2021,May 7-10 2021,Neely Henry Lake,AL,27,Stetson Blaylock,350,14,509,,,,221
