tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,1,Bill Lowen,171,20,1333,,40,10,350
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,2,Brock Mosley,348,20,1291,,,,295
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,3,Cory Johnston,400,20,1264,,,,290
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,4,Stephen Kennedy,128,20,1236,,,,285
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,5,Hank Cherry,265,20,1179,,,,280
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,6,Tyler Rivet,406,20,1177,,,,276
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,7,Brandon Palaniuk,184,20,1171,,,,272
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,8,Bryan Schmitt,425,20,1153,,,,268
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,9,Chad Pipkens,280,17,1102,,,5,269
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,10,Buddy Gross,420,19,1035,,,,260
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,11,Koby Kreiger,324,13,901,40,,10,307
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,12,Patrick Walters,408,15,896,,,,254
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,13,Kyle Welcher,426,15,871,,,,251
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,14,Brandon Lester,300,15,867,,,,248
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,15,Caleb Sumrall,375,14,857,,,,245
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,16,Wes Logan,424,15,846,,,,243
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,17,Ray Hanselman,395,15,840,,,,241
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,18,David Mullins,302,15,835,,,,239
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,19,Bryan New,438,15,826,,,,237
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,20,Greg Dipalma,393,15,813,,,,235
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,21,Scott Martin,437,13,808,,,,233
2021 Bassmaster Elite at Pickwick Lake,2021,March 20-23 2021,Pickwick Lake,AL,22,Matt Herren,159,15,806,,,,231
