tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,1,Jeff Gustafson,394,20,1008,,,20,320
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,2,Stephen Kennedy,128,17,895,40,,,335
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,3,John Cox,378,20,842,,,,290
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,4,Brandon Card,256,18,783,,,,285
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,5,Jason Christie,264,20,781,,,,280
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,6,Jake Whitaker,377,17,661,,,,276
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,7,Greg Hackney,122,16,611,,,,272
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,8,Hunter Shryock,373,18,596,,,,268
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,9,Brock Mosley,348,14,592,,40,,304
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,10,John Crews,146,16,555,,,,260
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,11,David Fritts,354,13,501,,,,257
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,12,Bob Downey,418,14,500,,,,254
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,13,Keith Combs,143,14,498,,,,251
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,14,Justin Hamner,435,14,491,,,,248
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,15,Scott Canterbury,387,12,490,,,,245
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,16,Bernie Schultz,199,11,478,,,,243
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,17,Matthew Robertson,416,14,476,,,,241
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,18,Ray Hanselman,395,14,475,,,,239
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,19,Caleb Sumrall,375,12,470,,,,237
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,20,Ed Loughran,403,15,470,,,,235
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,21,Taku Ito,422,14,469,,,,233
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,22,Brandon Cobb,390,9,461,,,,231
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,23,Patrick Walters,408,15,460,,,,229
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,24,Clifford Pirch,282,13,449,,,,227
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,25,Scott Martin,437,12,442,,,,225
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,26,Jamie Hartman,356,11,420,,,,223
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,27,Pat Schlapper,440,13,420,,,,221
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,28,Derek Hudnall,397,12,401,,,,219
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,29,Seth Feider,320,13,387,,,,217
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,30,Drew Cook,391,11,380,,,,215
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,31,Mark Menendez,175,11,379,,,,213
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,32,Lee Livesay,402,12,377,,,,211
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,33,Frank Talley,407,11,355,,,,209
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,34,Gerald Swindle,208,10,352,,,,207
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,35,Koby Kreiger,324,11,352,,,,205
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,36,Kyle Welcher,426,12,351,,,,203
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,37,Brandon Palaniuk,184,11,350,,,,201
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,38,Todd Auten,386,9,348,,,,199
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,39,Greg Dipalma,393,12,333,,,,197
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,40,David Mullins,302,10,330,,,,195
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,41,Shane Lehew,401,12,330,,,,193
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,42,Chad Morgenthaler,289,8,320,,,,191
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,43,Bill Lowen,171,9,313,,,,189
2021 Bassmaster Elite at Tennessee River,2021,February 25-28 2021,Tennessee River,TN,44,Bryan New,438,9,309,,,,187
