tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,1,Jason Christie,264,15,864,,,10,310
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,2,Kyle Welcher,426,15,859,,,5,300
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,3,Stetson Blaylock,350,15,853,40,,,330
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,4,Justin Hamner,435,15,791,,,,285
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,5,Chris Johnston,399,15,788,,,,280
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,6,Luke Palmer,404,15,770,,,,276
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,7,Taku Ito,422,15,766,,,,272
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,8,Taylor Smith,431,15,765,,,,268
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,9,Bryan New,438,15,746,,,5,269
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,10,David Mullins,302,15,740,,,,260
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,11,Lee Livesay,402,15,737,,,,257
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,12,Patrick Walters,408,15,729,,,,254
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,13,Joey Nania,459,15,726,,,,251
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,14,Matt Arey,385,15,723,,,,248
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,15,Stephen Kennedy,128,15,700,,,,245
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,16,Caleb Sumrall,375,15,694,,,,243
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,17,Hank Cherry,265,15,681,,,,241
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,18,Nick LeBrun,457,15,678,,,,239
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,19,Scott Martin,437,15,669,,,,237
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,20,Buddy Gross,420,15,649,,,,235
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,21,Brock Mosley,348,15,637,,,,233
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,22,Brandon Card,256,15,632,,,,231
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,23,Wes Logan,424,15,622,,,,229
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,24,Gerald Swindle,208,14,616,,,,227
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,25,Greg Hackney,122,14,574,,,,225
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,26,Marc Frazier,434,10,470,,,,223
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,27,Cory Johnston,400,10,470,,,,221
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,28,Bryan Schmitt,425,10,469,,,,219
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,29,Hunter Shryock,373,10,466,,,,217
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,30,Chris Zaldain,263,10,464,,,,215
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,31,Daisuke Aoki,450,10,460,,,,213
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,32,Matt Herren,159,9,459,,,,211
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,33,Tyler Rivet,406,10,458,,,,209
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,34,Brandon Cobb,390,10,452,,40,,247
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,35,Tristan McCormick,458,10,446,,,,205
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,36,Jacob Powroznik,303,10,442,,,,203
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,37,Josh Stracner,441,10,437,,,,201
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,38,Brandon Lester,300,10,435,,,,199
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,39,Chad Pipkens,280,10,416,,,,197
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,40,Austin Felix,419,10,415,,,,195
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,41,Jeff Gustafson,394,10,412,,,,193
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,42,Jared Miller,259,8,405,,,,191
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,43,Drew Benton,340,10,404,,,,189
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,44,John Cox,378,10,402,,,,187
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,45,John Crews,146,10,377,,,,185
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,46,Matthew Robertson,416,10,374,,,,183
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,47,Seth Feider,320,10,370,,,,181
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,48,KJ Queen,439,10,365,,,,179
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,49,Brandon Palaniuk,184,10,361,,,,177
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,50,Shane Lehew,401,10,359,,,,175
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,51,Drew Cook,391,10,356,,,,173
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,52,Ray Hanselman,395,8,320,,,,171
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,53,Shane Powell,460,10,311,,,,169
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,54,Matty Wong,456,10,311,,,,167
2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,2022,March 4-6 2022,Lake Hartwell,SC,55,Keith Tuma,461,7,185,,,,165
