tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,1,Buddy Gross,420,20,1243,,,10,310
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,2,Drew Benton,340,20,1201,,,,295
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,3,Ray Hanselman,395,20,1144,,,5,295
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,4,David Mullins,302,20,1121,,,,285
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,5,Brandon Lester,300,20,1113,,,5,285
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,6,Bryan Schmitt,425,20,1084,,,,276
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,7,John Cox,378,20,1080,,40,,312
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,8,Clifford Pirch,282,20,1079,,,,268
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,9,Kenta Kimura,436,20,1071,,,,264
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,10,Scott Martin,437,20,1052,,,,260
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,11,KJ Queen,439,15,839,,,,257
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,12,Greg Hackney,122,15,829,,,,254
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,13,Micah Frazier,321,15,815,40,,,291
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,14,Jay Przekurat,453,15,815,,,,248
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,15,Jamie Hartman,356,15,814,,,,245
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,16,Tyler Rivet,406,15,810,,,,243
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,17,Stetson Blaylock,350,15,792,,,,241
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,18,Jake Whitaker,377,15,792,,,,239
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,19,Matt Arey,385,15,786,,,,237
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,20,Josh Stracner,441,15,782,,,,235
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,21,Rick Clunn,142,15,779,,,,233
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,22,Bernie Schultz,199,15,772,,,,231
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,23,Justin Hamner,435,15,767,,,,229
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,24,Keith Combs,143,15,767,,,,227
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,25,Brandon Card,256,15,753,,,,225
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,26,Brandon Palaniuk,184,15,751,,,,223
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,27,David Williams,326,15,747,,,,221
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,28,Brandon Cobb,390,15,744,,,,219
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,29,Scott Canterbury,387,15,741,,,,217
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,30,Chad Pipkens,280,15,739,,,,215
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,31,Brad Whatley,410,15,734,,,,213
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,32,Jacob Powroznik,303,15,732,,,,211
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,33,Pat Schlapper,440,15,714,,,,209
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,34,Jason Christie,264,15,713,,,,207
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,35,Michael Iaconelli,124,15,706,,,,205
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,36,Jason Williamson,218,15,695,,,,203
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,37,Mike Huff,398,15,694,,,,201
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,38,Seth Feider,320,15,691,,,,199
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,39,Cory Johnston,400,15,690,,,,197
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,40,Chris Zaldain,263,15,685,,,,195
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,41,Matt Herren,159,15,680,,,,193
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,42,Jay Yelas,411,15,673,,,,191
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,43,Marc Frazier,434,15,672,,,,189
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,44,Mark Menendez,175,15,668,,,,187
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,45,Drew Cook,391,15,666,,,,185
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,46,Bryan New,438,15,626,,,,183
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,47,Jeff Gustafson,394,15,613,,,,181
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,48,Shane Lehew,401,10,455,,,,179
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,49,Matthew Robertson,416,10,450,,,,177
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,50,Koby Kreiger,324,10,446,,,,174
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,50,Patrick Walters,408,10,446,,,,174
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,52,Clark Wendlandt,409,10,445,,,,171
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,53,Gerald Swindle,208,10,442,,,,169
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,54,Bill Lowen,171,10,440,,,,167
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,55,Darold Gleason,429,10,439,,,,165
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,56,Joseph Webster,455,10,436,,,,163
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,57,Cody Huff,430,10,434,,,,160
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,57,Taku Ito,422,10,434,,,,160
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,59,Clent Davis,343,10,432,,,,157
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,60,Hunter Shryock,373,10,428,,,,155
2022 Bassmaster Elite at Harris Chain,2022,February 17-20 2022,Harris Chain of Lakes,FL,61,Chad Morgenthaler,289,10,427,,,,153
