tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,1,Austin Felix,419,20,1145,40,,10,350
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,2,Chris Johnston,399,20,1094,,,5,300
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,3,Taku Ito,422,20,1085,,,,290
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,4,Marc Frazier,434,20,1062,,,,285
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,5,Matthew Robertson,416,20,1034,,,,280
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,6,Patrick Walters,408,20,1016,,,,276
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,7,Seth Feider,320,20,1010,,,,272
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,8,Bryan New,438,20,966,,,,268
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,9,Tyler Rivet,406,20,920,,,,264
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,10,Cody Huff,430,20,879,,,,260
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,11,Jake Whitaker,377,15,709,,,,257
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,12,Masayuki Matsushita,445,15,700,,,,254
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,13,Jay Przekurat,453,15,696,,,,251
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,14,Caleb Kuphall,423,15,694,,,,248
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,15,Frank Talley,407,14,691,,,,245
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,16,Kenta Kimura,436,15,688,,,,243
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,17,Lee Livesay,402,15,654,,,,241
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,18,Micah Frazier,321,15,653,,,,239
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,19,Gerald Swindle,208,15,646,,,,237
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,20,Bryan Schmitt,425,15,645,,,,235
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,21,Jeff Gustafson,394,15,644,,,,233
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,22,Bob Downey,418,15,643,,,,231
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,23,Scott Canterbury,387,15,641,,,,229
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,24,Chad Pipkens,280,15,637,,,,227
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,25,Luke Palmer,404,15,636,,,,225
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,26,Pat Schlapper,440,15,628,,,,223
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,27,Brandon Card,256,12,627,,,5,226
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,28,Drew Cook,391,13,622,,,,219
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,29,Alex Redwine,454,15,589,,,,217
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,30,Brad Whatley,410,15,588,,,,215
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,31,Chris Zaldain,263,15,586,,,,213
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,32,Brandon Cobb,390,15,580,,40,,251
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,33,Stetson Blaylock,350,15,579,,,,209
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,34,Darold Gleason,429,15,576,,,,207
2022 Bassmaster Elite at Lake Oahe,2022,August 18-21 2022,Lake Oahe,SD,35,Joshua Douglas,451,13,562,,,,205
