tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,1,Drew Cook,391,20,1685,,,20,320
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,2,Caleb Kuphall,423,19,1649,,,,295
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,3,Brandon Palaniuk,184,20,1568,,,,290
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,4,Luke Palmer,404,20,1527,40,,,325
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,5,Cory Johnston,400,20,1417,,,,280
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,6,Brandon Cobb,390,20,1366,,,,276
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,7,John Cox,378,20,1350,,,,272
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,8,Greg Hackney,122,20,1313,,,,268
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,9,Drew Benton,340,19,1261,,,,264
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,10,Pat Schlapper,440,19,1247,,40,,300
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,11,Clifford Pirch,282,15,1035,,,,257
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,12,Bryan New,438,13,1027,,,,254
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,13,Chad Morgenthaler,289,15,1012,,,,251
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,14,Stephen Kennedy,128,15,995,,,,248
2022 Bassmaster Elite at Santee Cooper Lakes,2022,March 17-21 2022,Santee Cooper Lakes,SC,15,KJ Queen,439,15,980,,,,245
