tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,1,Brandon Lester,300,20,1377,40,,15,355
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,2,Cody Huff,430,20,1285,,,,295
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,3,Chris Zaldain,263,20,1247,,,,290
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,4,Jacob Foutz,380,20,1235,,,,285
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,5,John Cox,378,20,1120,,,,280
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,6,Bryan Schmitt,425,20,1104,,,,276
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,7,Brandon Palaniuk,184,20,1088,,,,272
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,8,Justin Atkins,433,20,1053,,,,268
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,9,Matthew Robertson,416,19,1039,,,5,269
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,10,Kenta Kimura,436,18,973,,,,260
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,11,Austin Felix,419,15,818,,,,257
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,12,Greg Dipalma,393,15,818,,,,254
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,13,Matt Arey,385,15,807,,,,251
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,14,Jeff Gustafson,394,15,806,,,,248
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,15,KJ Queen,439,15,801,,,,245
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,16,David Mullins,302,15,799,,,,243
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,17,Taku Ito,422,15,798,,,,241
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,18,Caleb Sumrall,375,15,789,,,,239
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,19,Chris Johnston,399,15,787,,,,237
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,20,Darold Gleason,429,15,769,,,,235
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,21,Scott Martin,437,15,761,,,,233
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,22,Clifford Pirch,282,15,757,,,,231
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,23,Buddy Gross,420,15,755,,,,229
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,24,Scott Canterbury,387,15,743,,,,227
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,25,Jason Christie,264,15,736,,,,225
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,26,Joseph Webster,455,14,732,,,,223
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,27,Micah Frazier,321,15,731,,,,221
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,28,Joshua Douglas,451,15,730,,,,219
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,29,Brandon Card,256,15,725,,,,217
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,30,Brandon Cobb,390,15,719,,,,215
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,31,Stetson Blaylock,350,15,716,,,,213
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,32,Shane Lehew,401,15,701,,,,211
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,33,Paul Mueller,294,15,700,,,,209
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,34,Mark Menendez,175,15,697,,,,207
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,35,Carl Jocumsen,323,15,695,,,,205
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,36,Ray Hanselman,395,15,689,,,,203
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,37,Jacob Powroznik,303,15,672,,,,201
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,38,Cliff Prince,261,15,670,,,,199
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,39,Lee Livesay,402,15,663,,,,197
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,40,Tyler Rivet,406,15,646,,40,,235
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,41,Jonathan Kelley,452,15,636,,,,193
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,42,Drew Benton,340,15,629,,,,191
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,43,Bryan New,438,13,625,,,,189
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,44,Jason Williamson,218,11,596,,,,187
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,45,Clark Wendlandt,409,13,576,,,,185
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,46,Koby Kreiger,324,13,554,,,,183
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,47,Greg Hackney,122,13,547,,,,181
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,48,Seth Feider,320,10,437,,,,179
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,49,Marc Frazier,434,10,432,,,,177
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,50,Wes Logan,424,10,431,,,,175
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,51,Patrick Walters,408,10,429,,,,173
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,52,Chad Pipkens,280,10,425,,,,171
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,53,Hunter Shryock,373,10,424,,,,169
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,54,Cory Johnston,400,10,421,,,,167
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,55,Gerald Swindle,208,10,417,,,,165
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,56,Chad Morgenthaler,289,10,416,,,,163
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,57,Brock Mosley,348,10,414,,,,161
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,58,Skylar Hamilton,355,7,410,,,,159
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,59,Caleb Kuphall,423,10,404,,,,157
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,60,Stephen Kennedy,128,10,403,,,,155
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,61,Bob Downey,418,10,402,,,,151
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,61,Kyle Welcher,426,9,402,,,,151
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,61,Josh Stracner,441,10,402,,,,151
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,64,Justin Hamner,435,10,399,,,,147
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,65,Frank Talley,407,10,397,,,,145
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,66,Jay Przekurat,453,10,394,,,,143
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,67,Hank Cherry,265,8,392,,,,141
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,68,Clent Davis,343,8,389,,,,139
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,69,Bernie Schultz,199,10,378,,,,137
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,70,Drew Cook,391,10,374,,,,135
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,71,Gary Clouse,389,10,371,,,,133
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,72,Luke Palmer,404,10,364,,,,131
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,73,Matt Herren,159,9,363,,,,129
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,74,David Williams,326,8,346,,,,127
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,75,Jamie Hartman,356,9,343,,,,125
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,76,Bill Lowen,171,9,331,,,,123
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,77,Michael Iaconelli,124,8,314,,,,120
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,77,Keith Combs,143,5,314,,,,120
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,79,Rick Clunn,142,9,309,,,,117
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,80,Matty Wong,456,7,304,,,,115
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,81,John Crews,146,8,303,,,,113
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,82,Todd Auten,386,8,302,,,,111
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,83,Pat Schlapper,440,8,293,,,,109
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,84,Ed Loughran,403,9,292,,,,107
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,85,Alex Redwine,454,7,280,,,,105
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,86,Mike Huff,398,7,248,,,,103
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,87,Masayuki Matsushita,445,7,234,,,,101
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,88,Jake Whitaker,377,6,205,,,,99
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,89,Daisuke Aoki,450,6,199,,,,97
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,90,David Fritts,354,5,190,,,,95
Bassmaster Elite at Pickwick Lake,2022,June 2-5 2022,Pickwick Lake,TN,91,Derek Hudnall,397,2,88,,,,93
