tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,1,Drew Benton,340,20,1392,40,,10,350
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,2,Hunter Shryock,373,20,1367,,,,295
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,3,Kyoya Fujita,464,20,1342,,,5,295
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,4,Patrick Walters,408,20,1337,,,,285
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,5,John Cox,378,20,1309,,,,280
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,6,Brandon Cobb,390,20,1309,,,,276
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,7,Drew Cook,391,20,1303,,,,272
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,8,Bernie Schultz,199,20,1289,,,,268
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,9,Jason Williamson,218,20,1281,,,,264
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,10,Kenta Kimura,436,20,1258,,,,260
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,11,Michael Iaconelli,124,15,947,,,,257
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,12,Bryant Smith,471,15,943,,,,254
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,13,Lee Livesay,402,15,942,,,,251
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,14,Shane Lehew,401,15,941,,,,248
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,15,Brock Mosley,348,15,937,,,,245
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,16,Greg Hackney,122,15,928,,,,243
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,17,Austin Felix,419,15,922,,,,241
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,18,Kyle Welcher,426,15,922,,,,239
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,19,Brandon Lester,300,15,895,,,,237
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,20,Stephen Kennedy,128,15,889,,,,235
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,21,Masayuki Matsushita,445,15,888,,,,233
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,22,Cody Huff,430,15,887,,,,231
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,23,Carl Jocumsen,323,15,884,,,,229
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,24,Seth Feider,320,15,881,,,,227
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,25,Matt Arey,385,15,880,,40,,265
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,26,Scott Martin,437,15,880,,,,223
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,27,Brandon Card,256,15,878,,,,221
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,28,Joseph Webster,455,15,870,,,,219
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,29,Matthew Robertson,416,15,869,,,5,222
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,30,Tyler Rivet,406,15,868,,,,215
2023 Bassmaster Elite at Lake Murray,2023,April 20-23 2023,Lake Murray,SC,31,David Gaston,466,15,848,,,,213
