tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,1,Joey Cifuentes III,462,20,1362,40,,15,355
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,2,Kyoya Fujita,464,20,1222,,40,,335
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,3,Tyler Rivet,406,20,1186,,,,290
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,4,Pat Schlapper,440,20,1172,,,,285
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,5,Derek Hudnall,397,20,1161,,,,280
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,6,Bill Lowen,171,20,1131,,,,276
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,7,Greg Hackney,122,19,1129,,,,272
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,8,Cory Johnston,400,20,1105,,,,268
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,9,Shane Lehew,401,20,1064,,,,264
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,10,Michael Iaconelli,124,20,1041,,,,260
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,11,Carl Jocumsen,323,15,822,,,,257
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,12,Bob Downey,418,15,820,,,,254
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,13,Austin Felix,419,15,810,,,,251
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,14,John Cox,378,15,810,,,,248
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,15,Kyle Welcher,426,15,799,,,,245
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,16,Matt Arey,385,15,791,,,,243
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,17,Chris Johnston,399,15,780,,,,241
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,18,Mark Menendez,175,15,776,,,,239
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,19,Brandon Card,256,15,776,,,,237
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,20,Brandon Cobb,390,15,772,,,,235
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,21,Jonathan Kelley,452,15,771,,,,233
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,22,Drew Benton,340,15,771,,,,231
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,23,Jason Christie,264,15,771,,,,229
2023 Bassmaster Elite at Lake Seminole,2023,February 23-26 2023,Lake Seminole,GA,24,Luke Palmer,404,15,765,,,,227
