tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,1,Will Davis Jr.,463,20,1004,,,5,305
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,2,Brandon Palaniuk,184,20,1002,,,15,310
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,3,Jason Christie,264,20,969,40,40,,370
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,4,Bryan New,438,18,899,,,,285
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,5,Jay Przekurat,453,20,893,,,,280
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,6,Patrick Walters,408,20,887,,,,276
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,7,Brandon Cobb,390,20,877,,,,272
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,8,Justin Hamner,435,20,824,,,,268
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,9,Matt Herren,159,16,768,,,,264
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,10,Seth Feider,320,19,761,,,,260
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,11,Scott Canterbury,387,15,647,,,,257
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,12,Alex Redwine,454,15,635,,,,254
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,13,Gary Clouse,389,15,629,,,,251
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,14,Koby Kreiger,324,15,623,,,,248
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,15,John Cox,378,15,611,,,,245
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,16,Jeff Gustafson,394,15,604,,,,243
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,17,Kenta Kimura,436,15,594,,,,241
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,18,Jamie Hartman,356,15,594,,,,239
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,19,Cole Sands,470,15,593,,,,237
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,20,Stetson Blaylock,350,15,592,,,,235
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,21,Joey Cifuentes III,462,15,592,,,,233
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,22,Logan Latuso,467,15,587,,,,231
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,23,Matt Arey,385,15,577,,,,229
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,24,David Mullins,302,15,577,,,,227
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,25,Kyle Welcher,426,15,575,,,,225
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,26,Hunter Shryock,373,15,574,,,,223
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,27,Bob Downey,418,15,565,,,,221
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,28,Joseph Webster,455,15,563,,,,219
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,29,Pat Schlapper,440,15,560,,,,217
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,30,Mark Menendez,175,15,560,,,,215
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,31,Brandon Lester,300,13,556,,,,213
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,32,Justin Atkins,433,14,554,,,,211
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,33,Chad Pipkens,280,15,551,,,,209
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,34,Kyoya Fujita,464,15,551,,,,207
2023 Bassmaster Elite at Lay Lake,2023,May 11-14 2023,Lay Lake,AL,35,David Gaston,466,15,548,,,,205
