tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,1,Brock Mosley,348,20,707,,,15,315
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,2,Clark Wendlandt,409,20,662,,,,295
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,3,Matty Wong,456,20,632,,,,290
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,4,Keith Poche,186,20,624,,,,285
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,5,Matthew Robertson,416,20,595,,,,280
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,6,Hunter Shryock,373,19,587,,,,276
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,7,Kyle Welcher,426,20,582,,,,272
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,8,Alex Wetherell,473,20,577,,,,268
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,9,Kenta Kimura,436,20,564,,,,264
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,10,Chad Pipkens,280,20,560,40,40,5,345
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,11,Jacob Powroznik,303,15,428,,,,257
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,12,Clifford Pirch,282,15,423,,,,254
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,13,Drew Benton,340,15,422,,,,251
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,14,Matt Herren,159,15,417,,,,248
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,15,Wes Logan,424,15,412,,,,245
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,16,Caleb Sumrall,375,15,411,,,,243
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,17,Greg Hackney,122,15,403,,,,241
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,18,John Crews,146,15,394,,,,239
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,19,Kyoya Fujita,464,15,394,,,,237
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,20,Austin Felix,419,15,393,,,,235
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,21,Ray Hanselman,395,15,393,,,,233
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,22,David Williams,326,15,388,,,,231
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,23,Bryan New,438,15,387,,,,229
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,24,Patrick Walters,408,15,383,,,,227
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,25,Masayuki Matsushita,445,15,379,,,,225
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,26,Larry Nixon,468,13,378,,,,223
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,27,Joey Cifuentes III,462,15,378,,,,221
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,28,Frank Talley,407,15,375,,,,219
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,29,Seth Feider,320,15,373,,,,217
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,30,Mike Huff,398,15,372,,,,215
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,31,Logan Latuso,467,15,371,,,,213
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,32,Jason Williamson,218,15,370,,,,211
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,33,Todd Auten,386,15,365,,,,209
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,34,Greg Dipalma,393,15,362,,,,207
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,35,Bryan Schmitt,425,15,353,,,,205
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,36,John Cox,378,12,348,,,,203
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,37,Lee Livesay,402,15,347,,,,201
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,38,Cole Sands,470,15,346,,,,199
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,39,Will Davis Jr.,463,15,342,,,,197
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,40,Jay Przekurat,453,15,329,,,,195
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,41,Jake Whitaker,377,14,328,,,,193
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,42,Stetson Blaylock,350,12,326,,,,191
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,43,Stephen Kennedy,128,15,320,,,,189
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,44,Bob Downey,418,15,316,,,,187
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,45,Shane Lehew,401,12,300,,,,185
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,46,Justin Atkins,433,15,296,,,,183
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,47,Paul Mueller,294,13,281,,,,181
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,48,Buddy Gross,420,14,272,,,,179
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,49,Joseph Webster,455,11,268,,,,177
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,50,Kyle Norsetter,469,10,224,,,,175
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,51,Koby Kreiger,324,10,211,,,,173
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,52,Taku Ito,422,9,209,,,,171
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,53,Clent Davis,343,10,207,,,,168
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,53,Tyler Rivet,406,10,207,,,,168
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,55,Hank Cherry,265,10,205,,,,165
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,56,Jamie Hartman,356,10,204,,,,163
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,57,Brandon Palaniuk,184,10,200,,,,159
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,57,Derek Hudnall,397,10,200,,,,159
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,57,Brad Whatley,410,10,200,,,,159
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,60,Joshua Douglas,451,10,199,,,,155
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,61,Brandon Card,256,10,198,,,,153
2023 Bassmaster Elite at Sabine River,2023,June 1-4 2023,Sabine River,TX,62,Brandon Lester,300,10,197,,,,149
