tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2023 Bassmaster Elite at Santee Cooper,2023,April 27-30 2023,Santee Cooper Lakes,SC,1,Luke Palmer,404,20,1550,,,10,310
2023 Bassmaster Elite at Santee Cooper,2023,April 27-30 2023,Santee Cooper Lakes,SC,2,Mark Menendez,175,19,1323,,,,295
2023 Bassmaster Elite at Santee Cooper,2023,April 27-30 2023,Santee Cooper Lakes,SC,3,Drew Cook,391,19,1193,,,,290
2023 Bassmaster Elite at Santee Cooper,2023,April 27-30 2023,Santee Cooper Lakes,SC,4,Brandon Cobb,390,18,1191,,,,285
2023 Bassmaster Elite at Santee Cooper,2023,April 27-30 2023,Santee Cooper Lakes,SC,5,Brandon Palaniuk,184,17,1103,,,,280
2023 Bassmaster Elite at Santee Cooper,2023,April 27-30 2023,Santee Cooper Lakes,SC,6,Paul Mueller,294,16,1074,,,,276
2023 Bassmaster Elite at Santee Cooper,2023,April 27-30 2023,Santee Cooper Lakes,SC,7,Bryant Smith,471,15,973,,,,272
2023 Bassmaster Elite at Santee Cooper,2023,April 27-30 2023,Santee Cooper Lakes,SC,8,Stephen Kennedy,128,15,937,,,,268
2023 Bassmaster Elite at Santee Cooper,2023,April 27-30 2023,Santee Cooper Lakes,SC,9,Jacob Powroznik,303,15,890,,,,264
2023 Bassmaster Elite at Santee Cooper,2023,April 27-30 2023,Santee Cooper Lakes,SC,10,Matthew Robertson,416,12,868,40,,10,310
2023 Bassmaster Elite at Santee Cooper,2023,April 27-30 2023,Santee Cooper Lakes,SC,11,Bryan Schmitt,425,15,832,,,,257
2023 Bassmaster Elite at Santee Cooper,2023,April 27-30 2023,Santee Cooper Lakes,SC,12,David Gaston,466,14,827,,40,,294
2023 Bassmaster Elite at Santee Cooper,2023,April 27-30 2023,Santee Cooper Lakes,SC,13,Hank Cherry,265,14,817,,,,251
