tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2023 Bassmaster Elite at St. Lawrence River,2023,August 24-27 2023,St. Lawrence River,NY,1,Patrick Walters,408,20,1680,,,10,310
2023 Bassmaster Elite at St. Lawrence River,2023,August 24-27 2023,St. Lawrence River,NY,2,Chris Johnston,399,20,1660,,,,295
2023 Bassmaster Elite at St. Lawrence River,2023,August 24-27 2023,St. Lawrence River,NY,3,Kyoya Fujita,464,20,1637,,,,290
2023 Bassmaster Elite at St. Lawrence River,2023,August 24-27 2023,St. Lawrence River,NY,4,Taku Ito,422,20,1623,,,,285
2023 Bassmaster Elite at St. Lawrence River,2023,August 24-27 2023,St. Lawrence River,NY,5,Kyle Welcher,426,20,1596,,,5,285
2023 Bassmaster Elite at St. Lawrence River,2023,August 24-27 2023,St. Lawrence River,NY,6,Cory Johnston,400,20,1536,,,,276
2023 Bassmaster Elite at St. Lawrence River,2023,August 24-27 2023,St. Lawrence River,NY,7,Kenta Kimura,436,20,1530,,40,,312
2023 Bassmaster Elite at St. Lawrence River,2023,August 24-27 2023,St. Lawrence River,NY,8,Justin Hamner,435,20,1526,,,,268
2023 Bassmaster Elite at St. Lawrence River,2023,August 24-27 2023,St. Lawrence River,NY,9,Matty Wong,456,20,1508,,,,264
2023 Bassmaster Elite at St. Lawrence River,2023,August 24-27 2023,St. Lawrence River,NY,10,Scott Martin,437,20,1445,,,,260
2023 Bassmaster Elite at St. Lawrence River,2023,August 24-27 2023,St. Lawrence River,NY,11,Luke Palmer,404,15,1100,,,,257
2023 Bassmaster Elite at St. Lawrence River,2023,August 24-27 2023,St. Lawrence River,NY,12,Matthew Robertson,416,15,1096,,,,254
2023 Bassmaster Elite at St. Lawrence River,2023,August 24-27 2023,St. Lawrence River,NY,13,Chris Zaldain,263,15,1092,,,,251
2023 Bassmaster Elite at St. Lawrence River,2023,August 24-27 2023,St. Lawrence River,NY,14,Cody Huff,430,15,1090,,,,248
