tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,1,Justin Hamner,435,15,931,40,,15,355
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,2,Adam Rasmussen,492,15,884,,,,295
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,3,Cody Huff,430,15,807,,,,290
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,4,Jay Przekurat,453,15,801,,,,285
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,5,Lee Livesay,402,15,795,,,,280
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,6,Cory Johnston,400,15,790,,,,276
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,7,Kyle Patrick,486,15,788,,,,272
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,8,Hank Cherry,265,15,788,,,,268
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,9,Shane Lehew,401,15,783,,,,264
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,10,Taku Ito,422,15,773,,,,260
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,11,Kyoya Fujita,464,15,768,,,,257
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,12,Cooper Gallant,465,15,764,,,,254
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,13,Bryant Smith,471,15,745,,,,251
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,14,Brandon Card,256,15,744,,,,248
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,15,Matt Arey,385,15,740,,,,245
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,16,Easton Fothergill,489,15,723,,,,243
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,17,Jason Christie,264,15,713,,,,241
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,18,Kyle Welcher,426,15,706,,,,239
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,19,Brandon Cobb,390,15,698,,,,237
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,20,Brock Mosley,348,15,696,,,,235
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,21,Luke Palmer,404,15,690,,,,233
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,22,Brandon Palaniuk,184,15,674,,,,231
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,23,Matthew Robertson,416,13,673,,,,229
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,24,Bryan Schmitt,425,15,673,,,,227
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,25,Chris Johnston,399,15,672,,,,225
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,26,Drew Benton,340,10,467,,,,223
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,27,Tyler Williams,487,10,465,,,,221
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,28,Clark Wendlandt,409,10,459,,,,219
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,29,Justin Barnes,488,10,458,,,,217
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,30,Patrick Walters,408,10,450,,,,215
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,31,Jeff Gustafson,394,10,444,,,,213
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,32,Hunter Shryock,373,10,443,,,,211
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,33,John Cox,378,10,441,,,,209
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,34,Cole Sands,470,10,436,,,,207
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,35,Joey Nania,459,10,435,,,,205
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,36,Timothy Dube,480,10,433,,,,203
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,37,Will Davis Jr.,463,10,431,,,,201
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,38,Stetson Blaylock,350,9,430,,,,199
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,39,Paul Mueller,294,10,427,,,,197
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,40,Kenta Kimura,436,10,424,,,,195
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,41,Joey Cifuentes III,462,10,417,,,,193
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,42,David Gaston,466,10,416,,,,191
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,43,Tyler Rivet,406,10,395,,,,189
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,44,Aaron Yavorsky,494,10,394,,40,,227
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,45,Carl Jocumsen,323,10,389,,,,185
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,46,Austin Felix,419,9,385,,,,183
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,47,Drew Cook,391,10,380,,,,181
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,48,Pat Schlapper,440,10,377,,,,179
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,49,Greg Hackney,122,10,377,,,,177
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,50,Ben Milliken,484,10,365,,,,175
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,51,Powell Kemp,490,10,357,,,,173
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,52,Matt Messer,491,10,336,,,,171
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,53,Jacob Powroznik,303,10,324,,,,169
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,54,Josh Wiesner,493,5,266,,,,167
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,55,Scott Canterbury,387,7,254,,,,165
2024 Bass Pro Shops Bassmaster Classic,2024,March 22-24 2024,Grand Lake O' the Cherokees,OK,56,Bob Downey,418,5,200,,,,163
