tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2024 Bassmaster Elite at Harris Chain of Lakes,2024,April 12-15 2024,Harris Chain of Lakes,FL,1,John Garrett,364,20,1349,40,,20,360
2024 Bassmaster Elite at Harris Chain of Lakes,2024,April 12-15 2024,Harris Chain of Lakes,FL,2,JT Thompkins,479,20,1180,,,,295
2024 Bassmaster Elite at Harris Chain of Lakes,2024,April 12-15 2024,Harris Chain of Lakes,FL,3,KJ Queen,439,20,1152,,,,290
2024 Bassmaster Elite at Harris Chain of Lakes,2024,April 12-15 2024,Harris Chain of Lakes,FL,4,Tyler Williams,487,20,1059,,,,285
2024 Bassmaster Elite at Harris Chain of Lakes,2024,April 12-15 2024,Harris Chain of Lakes,FL,5,Jordan Lee,288,20,1056,,,,280
2024 Bassmaster Elite at Harris Chain of Lakes,2024,April 12-15 2024,Harris Chain of Lakes,FL,6,Trey McKinney,483,20,1047,,,,276
2024 Bassmaster Elite at Harris Chain of Lakes,2024,April 12-15 2024,Harris Chain of Lakes,FL,7,Joseph Webster,455,20,983,,,,272
2024 Bassmaster Elite at Harris Chain of Lakes,2024,April 12-15 2024,Harris Chain of Lakes,FL,8,Ed Loughran,403,20,971,,,,268
2024 Bassmaster Elite at Harris Chain of Lakes,2024,April 12-15 2024,Harris Chain of Lakes,FL,9,Jason Christie,264,20,970,,,,264
2024 Bassmaster Elite at Harris Chain of Lakes,2024,April 12-15 2024,Harris Chain of Lakes,FL,10,Brad Whatley,410,19,896,,,,260
2024 Bassmaster Elite at Harris Chain of Lakes,2024,April 12-15 2024,Harris Chain of Lakes,FL,11,Jacob Powroznik,303,15,750,,40,,297
2024 Bassmaster Elite at Harris Chain of Lakes,2024,April 12-15 2024,Harris Chain of Lakes,FL,12,Brandon Lester,300,15,734,,,,254
2024 Bassmaster Elite at Harris Chain of Lakes,2024,April 12-15 2024,Harris Chain of Lakes,FL,13,Greg Hackney,122,15,728,,,,251
2024 Bassmaster Elite at Harris Chain of Lakes,2024,April 12-15 2024,Harris Chain of Lakes,FL,14,Michael Iaconelli,124,15,727,,,,248
