tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,1,Taku Ito,422,20,928,40,40,5,385
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,2,Robert Gee,481,20,863,,,5,300
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,3,Jay Przekurat,453,20,862,,,,290
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,4,Cory Johnston,400,20,849,,,,285
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,5,Tyler Williams,487,20,840,,,,280
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,6,Cooper Gallant,465,20,831,,,,276
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,7,Kyle Patrick,486,20,825,,,,272
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,8,JT Thompkins,479,20,807,,,,268
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,9,Cody Huff,430,20,797,,,5,269
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,10,Justin Hamner,435,20,794,,,,260
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,11,John Garrett,364,15,605,,,,257
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,12,Justin Atkins,433,15,603,,,,254
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,13,Kyoya Fujita,464,15,602,,,,251
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,14,Bob Downey,418,15,602,,,,248
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,15,Cole Sands,470,15,601,,,,245
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,16,Matt Arey,385,15,601,,,,243
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,17,Luke Palmer,404,15,600,,,,241
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,18,Chris Johnston,399,15,596,,,,239
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,19,Bryan New,438,15,594,,,,237
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,20,Matthew Robertson,416,15,590,,,,235
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,21,Jacob Foutz,380,15,583,,,,233
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,22,Wes Logan,424,15,579,,,,231
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,23,Bryant Smith,471,15,579,,,,229
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,24,Carl Jocumsen,323,15,578,,,,227
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,25,Kyle Welcher,426,15,578,,,,225
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,26,Brandon Palaniuk,184,15,577,,,,223
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,27,Ben Milliken,484,15,575,,,,221
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,28,Kenta Kimura,436,15,569,,,,219
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,29,Alex Redwine,454,15,567,,,,217
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,30,Drew Benton,340,14,566,,,,215
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,31,Jason Williamson,218,15,563,,,,213
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,32,Paul Mueller,294,15,562,,,,211
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,33,Wesley Gore,482,15,561,,,,209
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,34,Chris Zaldain,263,15,560,,,,207
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,35,Kyle Norsetter,469,15,554,,,,205
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,36,Stetson Blaylock,350,15,554,,,,203
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,37,Pat Schlapper,440,15,552,,,,201
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,38,Logan Parks,485,15,551,,,,199
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,39,Clifford Pirch,282,14,550,,,,197
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,40,Jeff Gustafson,394,15,542,,,,195
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,41,Jordan Lee,288,15,541,,,,193
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,42,Greg Dipalma,393,15,539,,,,191
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,43,Seth Feider,320,14,526,,,,189
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,44,Brandon Lester,300,14,524,,,,187
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,45,Stephen Kennedy,128,13,518,,,,185
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,46,Caleb Kuphall,423,14,513,,,,183
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,47,Todd Auten,386,12,477,,,,181
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,48,Hunter Shryock,373,12,461,,,5,184
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,49,Marc Frazier,434,12,444,,,,177
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,50,Mike Huff,398,10,369,,,,175
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,51,Gerald Swindle,208,10,366,,,,173
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,52,John Soukup,472,10,364,,,,170
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,52,Joey Cifuentes III,462,10,364,,,,170
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,54,David Gaston,466,10,361,,,,167
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,55,Brandon Cobb,390,10,360,,,,164
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,55,Caleb Sumrall,375,10,360,,,,164
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,57,Ray Hanselman,395,10,357,,,,161
2024 Bassmaster Elite at Smith Lake,2024,June 27-30 2024,Smith Lake,AL,58,Bryan Schmitt,425,10,350,,,,159
