tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,1,Kyoya Fujita,464,20,1613,40,,10,350
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,2,Patrick Walters,408,20,1535,,,,295
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,3,Pat Schlapper,440,20,1496,,,10,300
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,4,Robert Gee,481,20,1445,,,,285
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,5,Ben Milliken,484,20,1435,,,,280
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,6,Luke Palmer,404,20,1380,,,,276
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,7,Chris Johnston,399,20,1278,,,,272
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,8,Cooper Gallant,465,20,1230,,,,268
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,9,Jordan Lee,288,20,1208,,,,264
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,10,Alex Wetherell,473,20,1176,,,,260
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,11,Wesley Gore,482,15,965,,,,257
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,12,Trey McKinney,483,15,961,,,,254
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,13,Cory Johnston,400,15,948,,,,251
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,14,Justin Hamner,435,15,937,,,,248
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,15,Stetson Blaylock,350,15,930,,,,245
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,16,Bryan New,438,15,922,,40,,283
2024 Bassmaster Elite at Toledo Bend Reservoir,2024,February 22-25 2024,Toledo Bend Reservoir,LA,17,Austin Felix,419,15,919,,,,241
