tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,1,Cliff Prince,261,20,1295,40,40,15,395
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,2,Ray Hanselman,395,20,1232,,,,295
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,3,John Cox,378,20,1128,,,5,295
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,4,John Garrett,364,20,1097,,,,285
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,5,Alex Wetherell,473,20,1069,,,,280
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,6,Jay Przekurat,453,20,1033,,,,276
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,7,Wesley Gore,482,20,1006,,,,272
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,8,Logan Parks,485,20,1003,,,,268
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,9,Justin Hamner,435,20,938,,,,264
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,10,Alex Redwine,454,20,924,,,,260
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,11,Hunter Shryock,373,15,725,,,,257
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,12,Lee Livesay,402,15,720,,,,254
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,13,Matty Wong,456,15,690,,,,251
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,14,Jacob Foutz,380,15,682,,,,248
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,15,KJ Queen,439,15,681,,,,245
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,16,Greg Dipalma,393,15,675,,,,243
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,17,Brandon Palaniuk,184,15,673,,,,241
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,18,Patrick Walters,408,15,673,,,,239
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,19,Cole Sands,470,15,665,,,,237
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,20,John Crews,146,15,662,,,,235
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,21,Seth Feider,320,15,659,,,,233
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,22,Trey McKinney,483,15,659,,,,231
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,23,Keith Combs,143,15,652,,,,229
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,24,Wes Logan,424,15,645,,,,227
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,25,Greg Hackney,122,15,644,,40,,265
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,26,Caleb Sumrall,375,15,642,,,,223
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,27,Kyle Welcher,426,15,639,,,,221
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,28,Drew Cook,391,15,634,,,,219
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,29,Brad Whatley,410,15,634,,,,217
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,30,Justin Atkins,433,15,631,,,,215
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,31,JT Thompkins,479,14,629,,,,213
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,32,Cooper Gallant,465,15,627,,,,211
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,33,Clark Wendlandt,409,15,621,,,,209
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,34,Bernie Schultz,199,15,618,,,,207
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,35,Pat Schlapper,440,15,607,,,,205
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,36,Caleb Kuphall,423,15,603,,,,203
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,37,Mark Menendez,175,15,603,,,,201
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,38,Frank Talley,407,15,600,,,,199
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,39,Carl Jocumsen,323,15,591,,,,197
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,40,Bob Downey,418,15,574,,,,195
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,41,Brandon Cobb,390,15,571,,,,193
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,42,Gerald Swindle,208,15,568,,,,191
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,43,Cody Huff,430,15,566,,,,189
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,44,Scott Canterbury,387,15,546,,,,187
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,45,Jacob Powroznik,303,14,544,,,,185
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,46,Hank Cherry,265,15,541,,,,183
2024 Bassmaster Elite at Wheeler Lake,2024,June 13-16 2024,Wheeler Lake,AL,47,Tyler Williams,487,14,533,,,,181
