tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,1,Easton Fothergill,489,15,1231,40,,10,350
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,2,Trey McKinney,483,15,1095,,,5,300
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,3,Lee Livesay,402,15,1066,,,,290
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,4,Hunter Shryock,373,15,1038,,,,285
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,5,Cory Johnston,400,14,935,,,,280
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,6,John Cox,378,15,909,,,,276
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,7,Brandon Lester,300,15,901,,,,272
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,8,Chris Johnston,399,14,895,,,,268
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,9,Patrick Walters,408,15,892,,,,264
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,10,Justin Hamner,435,14,851,,,,260
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,11,Carl Jocumsen,323,12,837,,,,257
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,12,Jordan Lee,288,13,824,,,,254
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,13,Jay Przekurat,453,12,802,,,,251
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,14,Tyler Williams,487,15,801,,,,248
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,15,Ben Milliken,484,10,752,,,,245
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,16,Tyler Rivet,406,12,748,,,,243
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,17,Kyoya Fujita,464,14,736,,,,241
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,18,Drew Cook,391,15,727,,,,239
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,19,Connor Jacob,509,15,689,,,,237
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,20,Scott Martin,437,12,687,,,,235
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,21,Drew Benton,340,12,665,,,,233
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,22,Bryan Schmitt,425,11,655,,,,231
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,23,Jeremiah Kindy,510,14,651,,,,229
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,24,Stetson Blaylock,350,12,620,,,,227
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,25,Greg Hackney,122,11,554,,,,225
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,26,John Garrett,364,6,440,,40,,263
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,27,Jeremy Knepp,511,8,437,,,,221
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,28,Chris Zaldain,263,7,421,,,,219
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,29,Jeff Gustafson,394,10,419,,,,217
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,30,Wes Logan,424,6,410,,,,215
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,31,Shane Lehew,401,9,406,,,,213
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,32,Bobby Bakewell,506,5,392,,,,211
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,33,Wesley Gore,482,7,391,,,,209
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,34,Kyle Austin,505,8,376,,,,207
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,35,Caleb Sumrall,375,7,375,,,,205
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,36,Pat Schlapper,440,7,362,,,,203
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,37,Cody Stahl,512,6,359,,,,201
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,38,Jacob Foutz,380,7,358,,,,199
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,39,Alex Redwine,454,10,348,,,,197
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,40,Jacob Powroznik,303,7,340,,,,195
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,41,Cooper Gallant,465,6,330,,,,193
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,42,Robert Gee,481,6,325,,,,191
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,43,Kyle Patrick,486,7,307,,,,189
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,44,JT Thompkins,479,5,286,,,,187
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,45,Will Davis Jr.,463,7,269,,,,185
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,46,Tyler Campbell,508,6,252,,,,183
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,47,Alex Wetherell,473,4,242,,,,181
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,48,Matt Arey,385,5,239,,,,179
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,49,Cody Huff,430,4,235,,,,177
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,50,Dylan Akins,504,4,231,,,,175
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,51,Justin Atkins,433,4,224,,,,173
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,52,Taku Ito,422,3,183,,,,171
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,53,Logan Parks,485,4,175,,,,169
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,54,Kyle Norsetter,469,3,163,,,,167
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,55,Blake Capps,496,3,138,,,,165
2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,2025,March 21-23 2025,Lake Ray Roberts,TX,56,Josh Butler,507,1,73,,,,163
