tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,1,Tucker Smith,502,20,2040,,,5,305
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,2,Paul Marks,500,20,2027,,,,295
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,3,Trey McKinney,483,20,1955,40,,,330
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,4,Kyoya Fujita,464,20,1949,,,10,295
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,5,JT Thompkins,479,20,1924,,,,280
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,6,Tyler Williams,487,20,1769,,,,276
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,7,Wesley Gore,482,20,1718,,,,272
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,8,Easton Fothergill,489,20,1704,,,,268
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,9,Jay Przekurat,453,20,1703,,40,,304
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,10,Seth Feider,320,20,1624,,,,260
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,11,Greg Hackney,122,15,1237,,,,257
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,12,Patrick Walters,408,15,1207,,,,254
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,13,Brandon Lester,300,15,1198,,,,251
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,14,Bryan New,438,15,1182,,,,248
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,15,Chris Johnston,399,15,1118,,,,245
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,16,Caleb Sumrall,375,15,1112,,,,243
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,17,Cory Johnston,400,15,1107,,,,241
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,18,Andrew Loberg,499,15,1104,,,,239
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,19,Brad Whatley,410,15,1084,,,,237
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,20,Bryan Schmitt,425,15,1083,,,,235
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,21,Jason Christie,264,15,1081,,,,233
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,22,Caleb Kuphall,423,15,1076,,,,231
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,23,Brandon Palaniuk,184,12,1068,,,,229
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,24,Bill Lowen,171,15,1061,,,,227
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,25,Jake Whitaker,377,15,1055,,,,225
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,26,Will Davis Jr.,463,15,1052,,,,223
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,27,Drew Benton,340,15,1048,,,,221
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,28,Tyler Rivet,406,15,1045,,,,219
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,29,Jordan Lee,288,15,1031,,,,217
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,30,Cooper Gallant,465,15,1026,,,,215
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,31,Brandon Cobb,390,15,1008,,,,213
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,32,Pat Schlapper,440,15,1003,,,,211
2025 Bassmaster Elite at Lake Fork,2025,May 8-11 2025,Lake Fork,TX,33,Drew Cook,391,15,997,,,,209
