tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,1,Paul Marks,500,20,1096,,,5,305
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,2,Tucker Smith,502,20,1082,,,,295
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,3,Luke Palmer,404,20,1066,,,,290
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,4,Drew Cook,391,20,1047,,,10,295
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,5,Jay Przekurat,453,20,1031,,,,280
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,6,Randy Howell,131,20,1003,40,40,5,361
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,7,Easton Fothergill,489,20,987,,,,272
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,8,Wesley Gore,482,20,979,,,,268
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,9,Emil Wagner,503,20,973,,,,264
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,10,Jacob Powroznik,303,20,962,,,,260
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,11,Trey McKinney,483,15,766,,,,257
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,12,Bryant Smith,471,15,763,,,,254
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,13,JT Thompkins,479,15,758,,,,251
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,14,Justin Hamner,435,15,754,,,,248
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,15,Andrew Loberg,499,15,754,,,,245
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,16,Taku Ito,422,15,752,,,,243
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,17,Drew Benton,340,15,749,,,,241
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,18,John Cox,378,15,745,,,,239
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,19,Jordan Lee,288,15,742,,,,237
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,20,Bryan New,438,15,741,,,,235
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,21,Patrick Walters,408,15,740,,,,233
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,22,Shane Lehew,401,15,738,,,,231
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,23,Kyoya Fujita,464,15,735,,,,229
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,24,Robert Gee,481,15,734,,,,227
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,25,Ben Milliken,484,15,732,,,,225
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,26,Alex Redwine,454,15,732,,,,223
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,27,Cody Meyer,501,15,731,,,,221
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,28,Matty Wong,456,15,724,,,,219
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,29,Evan Kung,498,15,724,,,,217
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,30,Chad Pipkens,280,15,721,,,,215
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,31,Chris Johnston,399,15,721,,,,213
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,32,Kyle Norsetter,469,15,721,,,,211
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,33,Matt Arey,385,15,716,,,,209
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,34,Ray Hanselman,395,15,712,,,,207
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,35,Will Davis Jr.,463,15,710,,,,205
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,36,Kyle Patrick,486,15,705,,,,203
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,37,Cory Johnston,400,15,705,,,,201
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,38,Hunter Shryock,373,15,705,,,,199
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,39,Lee Livesay,402,15,701,,,,197
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,40,Bryan Schmitt,425,15,700,,,,195
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,41,Timothy Dube,480,15,693,,,,193
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,42,Justin Atkins,433,15,688,,,,191
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,43,Austin Felix,419,15,678,,,,189
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,44,Carl Jocumsen,323,15,666,,,,187
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,45,Seth Feider,320,15,664,,,,185
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,46,Cooper Gallant,465,15,657,,,,183
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,47,Gerald Swindle,208,15,647,,,,181
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,48,Bill Lowen,171,15,644,,,,179
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,49,Cole Sands,470,15,637,,,,177
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,50,Caleb Kuphall,423,15,627,,,,175
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,51,Scott Canterbury,387,10,462,,,,173
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,52,Brock Mosley,348,10,460,,,,171
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,53,Brandon Palaniuk,184,10,459,,,,169
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,54,Logan Parks,485,10,455,,,,167
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,55,Jeff Gustafson,394,10,452,,,,164
2025 Bassmaster Elite at Lake Hartwell,2025,April 24-27 2025,Lake Hartwell,SC,55,Buddy Gross,420,10,452,,,,164
