tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,1,Brandon Palaniuk,184,20,1524,40,,15,355
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,2,John Garrett,364,20,1271,,,,295
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,3,Kyoya Fujita,464,20,1236,,,,290
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,4,Will Davis Jr.,463,20,1221,,,,285
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,5,Bob Downey,418,20,1170,,,,280
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,6,David Gaston,466,20,1092,,40,,316
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,7,Greg Dipalma,393,18,1076,,,5,277
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,8,Trey McKinney,483,20,1049,,,,268
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,9,Jacob Foutz,380,19,949,,,,264
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,10,Jason Christie,264,17,869,,,,260
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,11,John Cox,378,15,784,,,,257
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,12,Jordan Lee,288,15,779,,,,254
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,13,Cliff Pace,183,15,778,,,,251
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,14,Scott Canterbury,387,15,772,,,,248
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,15,Tyler Williams,487,15,766,,,,245
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,16,Beau Browning,495,15,761,,,,243
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,17,Wes Logan,424,15,748,,,,241
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,18,Hank Cherry,265,15,742,,,,239
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,19,Bryant Smith,471,15,722,,,,237
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,20,Taku Ito,422,15,706,,,,235
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,21,Paul Mueller,294,15,706,,,,233
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,22,Lee Livesay,402,15,698,,,,231
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,23,Jake Whitaker,377,15,692,,,,229
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,24,Stetson Blaylock,350,15,691,,,,227
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,25,KJ Queen,439,15,691,,,,225
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,26,Paul Marks,500,15,683,,,,223
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,27,Bill Lowen,171,15,658,,,,221
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,28,Cody Meyer,501,15,657,,,,219
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,29,Tyler Rivet,406,15,652,,,,217
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,30,Jay Przekurat,453,15,644,,,,215
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,31,Kyle Patrick,486,15,642,,,,213
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,32,Logan Parks,485,15,635,,,,211
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,33,Chris Johnston,399,15,626,,,,209
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,34,Kyle Welcher,426,15,623,,,,207
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,35,Brandon Cobb,390,15,616,,,,205
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,36,Cooper Gallant,465,13,597,,,,203
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,37,Bryan New,438,13,595,,,,201
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,38,Timothy Dube,480,11,595,,,,199
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,39,Matty Wong,456,13,593,,,,197
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,40,Cody Huff,430,15,591,,,,195
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,41,Caleb Kuphall,423,15,587,,,,193
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,42,Patrick Walters,408,15,578,,,,191
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,43,Ray Hanselman,395,15,577,,,,189
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,44,Bryan Schmitt,425,15,562,,,,187
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,45,Hunter Shryock,373,15,537,,,,185
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,46,David Mullins,302,14,535,,,,183
2025 Bassmaster Elite at Lake Okeechobee,2025,February 27-2 2025,Lake Okeechobee,FL,47,Drew Cook,391,15,531,,,,181
