tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,1,Kyle Welcher,426,20,1900,40,40,20,400
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,2,Brandon Lester,300,20,1173,,,,295
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,3,Trey McKinney,483,20,1153,,,,290
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,4,Easton Fothergill,489,19,1094,,,,285
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,5,Keith Combs,143,19,1077,,,,280
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,6,Justin Hamner,435,20,1074,,,,276
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,7,Tyler Williams,487,19,1058,,,,272
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,8,Seth Feider,320,20,1046,,,,268
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,9,Shane Lehew,401,20,1038,,,,264
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,10,Kyle Patrick,486,20,996,,,,260
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,11,Kyoya Fujita,464,15,791,,,,257
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,12,Logan Parks,485,15,759,,,,254
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,13,Luke Palmer,404,15,741,,,,251
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,14,Cody Meyer,501,15,729,,,,248
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,15,Jay Przekurat,453,15,729,,,,245
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,16,Austin Felix,419,15,727,,,,243
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,17,Will Davis Jr.,463,15,716,,,,241
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,18,Lee Livesay,402,15,710,,,,239
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,19,Drew Cook,391,15,700,,,,237
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,20,Jake Whitaker,377,15,696,,,,235
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,21,Chris Johnston,399,14,683,,,,233
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,22,Bryant Smith,471,15,677,,,,231
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,23,Joey Cifuentes III,462,13,676,,,,229
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,24,Drew Benton,340,15,669,,,,227
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,25,Jacob Foutz,380,12,669,,,,225
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,26,Caleb Kuphall,423,15,665,,,,223
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,27,Bob Downey,418,15,654,,,,221
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,28,John Crews,146,15,650,,,,219
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,29,Jacob Powroznik,303,15,649,,,,217
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,30,Alex Wetherell,473,14,640,,,,215
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,31,Logan Latuso,467,15,640,,,,213
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,32,Marc Frazier,434,13,638,,,,211
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,33,Carl Jocumsen,323,15,635,,,,209
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,34,Cory Johnston,400,15,624,,,,207
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,35,Alex Redwine,454,14,618,,,,205
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,36,Tucker Smith,502,15,595,,,,203
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,37,Stetson Blaylock,350,15,577,,,,201
2025 Bassmaster Elite at Pasquotank River,2025,April 10-13 2025,Pasquotank River/Albemarle Sound,NC,38,Michael Iaconelli,124,13,576,,,,199
