tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,1,Bill Lowen,171,19,1182,,,15,315
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,2,Jay Przekurat,453,20,1178,,,5,300
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,3,Shane Lehew,401,20,1177,,,,290
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,4,John Garrett,364,18,1136,40,,,325
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,5,Cory Johnston,400,20,1094,,,,280
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,6,Brock Mosley,348,20,1094,,,,276
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,7,Gerald Swindle,208,20,1008,,,,272
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,8,John Cox,378,20,948,,40,,308
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,9,Patrick Walters,408,20,940,,,,264
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,10,Jake Whitaker,377,20,926,,,,260
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,11,Wes Logan,424,13,772,,,,257
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,12,Justin Atkins,433,15,770,,,,254
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,13,Seth Feider,320,14,748,,,,251
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,14,Robert Gee,481,15,745,,,,248
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,15,Chris Johnston,399,15,744,,,,245
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,16,Evan Kung,498,15,737,,,,243
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,17,Lee Livesay,402,12,735,,,,241
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,18,Logan Parks,485,15,727,,,,239
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,19,Caleb Kuphall,423,15,719,,,,237
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,20,Kyle Norsetter,469,15,714,,,,235
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,21,David Gaston,466,15,710,,,,233
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,22,Carl Jocumsen,323,15,699,,,,231
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,23,Joey Cifuentes III,462,15,695,,,,229
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,24,Will Davis Jr.,463,15,694,,,,227
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,25,Tucker Smith,502,15,691,,,,225
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,26,Bernie Schultz,199,12,671,,,,223
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,27,Brandon Card,256,13,664,,,,221
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,28,Austin Felix,419,15,663,,,,219
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,29,Hunter Shryock,373,14,660,,,,217
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,30,Bryant Smith,471,15,657,,,,215
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,31,Bryan Schmitt,425,15,652,,,,213
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,32,Mark Menendez,175,15,643,,,,211
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,33,Emil Wagner,503,15,643,,,,209
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,34,Luke Palmer,404,15,635,,,,207
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,35,Clifford Pirch,282,15,604,,,,205
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,36,Jason Christie,264,14,604,,,,203
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,37,Taku Ito,422,15,603,,,,201
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,38,Logan Latuso,467,15,601,,,,199
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,39,John Crews,146,13,599,,,,197
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,40,Bryan New,438,12,592,,,,195
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,41,Brandon Palaniuk,184,15,592,,,,193
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,42,Pat Schlapper,440,14,591,,,,191
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,43,Drew Benton,340,14,582,,,,189
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,44,Caleb Sumrall,375,12,579,,,,187
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,45,KJ Queen,439,14,565,,,,185
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,46,Justin Hamner,435,15,564,,,,183
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,47,Jacob Powroznik,303,15,532,,,,181
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,48,Alex Wetherell,473,13,519,,,,179
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,49,Drew Cook,391,11,441,,,,177
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,50,Michael Iaconelli,124,10,399,,,,175
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,51,Cody Meyer,501,10,397,,,,173
2025 Bassmaster Elite at St. Johns River,2025,February 20-23 2025,St. Johns River,FL,52,Kenta Kimura,436,7,393,,,,171
