tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,1,Pat Schlapper,440,20,620,,,20,320
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,2,Patrick Walters,408,20,584,,,,295
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,3,Kyoya Fujita,464,20,584,,,,290
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,4,Taku Ito,422,19,578,,,,285
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,5,Kyle Welcher,426,20,563,,,,280
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,6,Cooper Gallant,465,20,547,,,,276
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,7,Stetson Blaylock,350,20,505,,,,272
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,8,David Mullins,302,20,505,,,,268
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,9,Justin Hamner,435,19,505,,,,264
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,10,John Crews,146,18,486,40,40,,340
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,11,Hunter Shryock,373,14,385,,,,257
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,12,Tyler Williams,487,15,384,,,,254
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,13,Chris Johnston,399,15,383,,,,251
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,14,Easton Fothergill,489,15,382,,,,248
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,15,Bryan New,438,13,381,,,,245
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,16,Clifford Pirch,282,15,380,,,,243
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,17,KJ Queen,439,15,370,,,,241
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,18,Cody Huff,430,15,370,,,,239
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,19,Bob Downey,418,15,367,,,,237
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,20,Bill Lowen,171,15,363,,,,235
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,21,Greg Dipalma,393,14,353,,,,233
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,22,Austin Felix,419,15,353,,,,231
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,23,Emil Wagner,503,15,352,,,,229
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,24,Robert Gee,481,15,348,,,,227
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,25,Jay Przekurat,453,14,344,,,,225
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,26,Jeff Gustafson,394,15,344,,,,223
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,27,Logan Parks,485,14,342,,,,221
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,28,Bryan Schmitt,425,15,341,,,,219
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,29,Trey McKinney,483,13,339,,,,217
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,30,Beau Browning,495,13,337,,,,215
2025 MAXAM Tire Bassmaster Elite at Sabine River,2025,May 15-18 2025,Sabine River,TX,31,Cliff Pace,183,14,337,,,,213
